"eid","name","type","baseName","currentRank","targetRank","currentData","nextData","identityPreserved"
"52","絹のローブ","体","ローブ","20","30","{""def"":4,""mag"":5,""mdef"":5}","{""def"":6,""mag"":8,""mdef"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"53","鋼のブーツ","足","ブーツ","20","30","{""def"":4,""spd"":4}","{""def"":6,""spd"":6}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"54","ラバーソール","足","くつ","20","30","{""spd"":7,""eva"":5}","{""spd"":9,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"61","はがねのつるぎ","武器","剣","30","40","{""atk"":12,""hit"":10}","{""atk"":15,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"62","鋼鉄のギロチン","武器","斧","30","40","{""atk"":16,""spd"":-4,""hit"":-10}","{""atk"":20,""spd"":-4,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"63","アサシンダガー","武器","短剣","30","40","{""atk"":8,""mag"":8,""cri"":5,""attack_InstantDeath"":2}","{""atk"":10,""mag"":10,""cri"":5,""attack_InstantDeath"":2}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"64","まどろみの杖","武器","杖","30","40","{""mag"":15}","{""mag"":18}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"65","はがねのやり","武器","槍","30","40","{""atk"":14}","{""atk"":18}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"66","ロングボウ","武器","弓","30","40","{""atk"":14,""cri"":7,""hit"":-15}","{""atk"":18,""cri"":7,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"67","はがねのたて","盾","盾","30","40","{""def"":11,""mdef"":8}","{""def"":14,""mdef"":11}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"68","鋼鉄の腕輪","盾","腕輪","30","40","{""atk"":6,""def"":8,""mag"":6,""mdef"":9}","{""atk"":8,""def"":10,""mag"":8,""mdef"":11}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"69","はがねのかぶと","頭","兜","30","40","{""def"":8,""mdef"":5,""hp"":16,""mp"":17}","{""def"":10,""mdef"":7,""hp"":20,""mp"":22}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"70","銀の髪飾り","頭","帽子","30","40","{""def"":5,""mdef"":8,""hp"":17,""mp"":16}","{""def"":7,""mdef"":10,""hp"":22,""mp"":20}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"71","鉄のよろい","体","鎧","30","40","{""def"":9,""mdef"":6,""finRed"":5}","{""def"":12,""mdef"":8,""finRed"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"72","魔道士の服","体","ローブ","30","40","{""def"":6,""mag"":8,""mdef"":8}","{""def"":8,""mag"":10,""mdef"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"73","銀のブーツ","足","ブーツ","30","40","{""def"":6,""spd"":6}","{""def"":8,""spd"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"74","俊足のサンダル","足","くつ","30","40","{""spd"":9,""eva"":5}","{""spd"":12,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"81","破邪の剣","武器","剣","40","50","{""atk"":15,""hit"":10,""elmAtk"":{""光"":10}}","{""atk"":18,""hit"":10,""elmAtk"":{""光"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"82","大地のオノ","武器","斧","40","50","{""atk"":20,""spd"":-5,""hit"":-10,""elmAtk"":{""火"":10}}","{""atk"":24,""spd"":-5,""hit"":-10,""elmAtk"":{""火"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"83","ミスリルナイフ","武器","短剣","40","50","{""atk"":10,""mag"":10,""cri"":5}","{""atk"":12,""mag"":12,""cri"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"84","ホーリーランス","武器","槍","40","50","{""atk"":18,""finRed"":5,""elmAtk"":{""光"":10}}","{""atk"":21,""finRed"":5,""elmAtk"":{""光"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"85","狩人の弓","武器","弓","40","50","{""atk"":18,""cri"":10,""hit"":-15,""attack_Poison"":10}","{""atk"":21,""cri"":10,""hit"":-15,""attack_Poison"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"86","マジカルスタッフ","武器","杖","40","50","{""mag"":18}","{""mag"":22}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"87","魔法の盾","盾","盾","40","50","{""def"":14,""mdef"":11}","{""def"":17,""mdef"":13}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"88","黄金のブレスレット","盾","腕輪","40","50","{""atk"":8,""def"":10,""mag"":8,""mdef"":11}","{""atk"":10,""def"":12,""mag"":10,""mdef"":14}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"89","知力の兜","頭","兜","40","50","{""def"":10,""mdef"":7,""hp"":20,""mp"":22}","{""def"":12,""mdef"":8,""hp"":24,""mp"":26}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"90","黄金のティアラ","頭","帽子","40","50","{""def"":7,""mdef"":10,""hp"":22,""mp"":20}","{""def"":8,""mdef"":12,""hp"":26,""mp"":24}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"91","はがねのよろい","体","鎧","40","50","{""def"":12,""mdef"":8,""finRed"":8}","{""def"":14,""mdef"":10,""finRed"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"92","魔法の法衣","体","ローブ","40","50","{""def"":8,""mag"":10,""mdef"":10,""elmRes"":{""光"":5}}","{""def"":10,""mag"":12,""mdef"":12,""elmRes"":{""光"":5}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"93","黄金のグリーヴ","足","ブーツ","40","50","{""def"":8,""spd"":8}","{""def"":10,""spd"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"94","魔法のサンダル","足","くつ","40","50","{""spd"":12,""eva"":5}","{""spd"":14,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"101","ドラゴンキラー","武器","剣","50","60","{""atk"":18,""hit"":10}","{""atk"":22,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"102","魔神のオノ","武器","斧","50","60","{""atk"":24,""spd"":-5,""cri"":30,""hit"":-30}","{""atk"":30,""spd"":-5,""cri"":30,""hit"":-30}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"103","グラディウス","武器","短剣","50","60","{""atk"":12,""mag"":12,""cri"":5}","{""atk"":16,""mag"":16,""cri"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"104","賢者の杖","武器","杖","50","60","{""mag"":22}","{""mag"":28}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"105","トライデント","武器","槍","50","60","{""atk"":21,""elmAtk"":{""水"":10}}","{""atk"":26,""elmAtk"":{""水"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"106","コンポジットボウ","武器","弓","50","60","{""atk"":21,""cri"":12,""hit"":-15}","{""atk"":26,""cri"":12,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"107","ドラゴンシールド","盾","盾","50","60","{""def"":17,""mdef"":13}","{""def"":21,""mdef"":16}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"108","竜のうろこ","盾","腕輪","50","60","{""atk"":10,""def"":12,""mag"":10,""mdef"":14}","{""atk"":12,""def"":15,""mag"":12,""mdef"":17}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"109","ミスリルヘルム","頭","兜","50","60","{""def"":12,""mdef"":8,""hp"":24,""mp"":26}","{""def"":15,""mdef"":10,""hp"":29,""mp"":31}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"110","司祭の帽子","頭","帽子","50","60","{""def"":8,""mdef"":12,""hp"":26,""mp"":24}","{""def"":10,""mdef"":15,""hp"":31,""mp"":29}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"111","魔法の鎧","体","鎧","50","60","{""def"":14,""mdef"":10,""finRed"":10}","{""def"":17,""mdef"":12,""finRed"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"112","賢者のローブ","体","ローブ","50","60","{""def"":10,""mag"":12,""mdef"":12,""elmRes"":{""火"":5,""水"":5,""風"":5,""雷"":5}}","{""def"":12,""mag"":15,""mdef"":15,""elmRes"":{""火"":5,""水"":5,""風"":5,""雷"":5}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"113","ミスリルブーツ","足","ブーツ","50","60","{""def"":10,""spd"":10}","{""def"":12,""spd"":12}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"114","フェザーシューズ","足","くつ","50","60","{""spd"":14,""eva"":5}","{""spd"":17,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"121","プラチナソード","武器","剣","60","70","{""atk"":22,""hit"":10}","{""atk"":27,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"122","覇者の大斧","武器","斧","60","70","{""atk"":30,""spd"":-6,""hit"":-10}","{""atk"":35,""spd"":-6,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"123","ソウルブレイカー","武器","短剣","60","70","{""atk"":16,""mag"":16,""cri"":5,""attack_Fear"":10}","{""atk"":19,""mag"":19,""cri"":5,""attack_Fear"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"124","大賢者の杖","武器","杖","60","70","{""mag"":28}","{""mag"":33}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"125","プラチナランス","武器","槍","60","70","{""atk"":26}","{""atk"":31}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"126","プラチナボウ","武器","弓","60","70","{""atk"":26,""cri"":15,""hit"":-15}","{""atk"":31,""cri"":15,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"127","プラチナシールド","盾","盾","60","70","{""def"":21,""mdef"":16,""resists_Debuff"":5}","{""def"":24,""mdef"":19,""resists_Debuff"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"128","ミスリルバングル","盾","腕輪","60","70","{""atk"":12,""def"":15,""mag"":12,""mdef"":17}","{""atk"":15,""def"":18,""mag"":15,""mdef"":20}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"129","プラチナヘッド","頭","兜","60","70","{""def"":15,""mdef"":10,""hp"":29,""mp"":31}","{""def"":17,""mdef"":12,""hp"":34,""mp"":36}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"130","賢者のターバン","頭","帽子","60","70","{""def"":10,""mdef"":15,""hp"":31,""mp"":29}","{""def"":12,""mdef"":17,""hp"":36,""mp"":34}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"131","ドラゴンメイル","体","鎧","60","70","{""def"":17,""mdef"":12,""elmRes"":{""火"":10}}","{""def"":20,""mdef"":14,""elmRes"":{""火"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"132","ミスリルケープ","体","ローブ","60","70","{""def"":12,""mag"":15,""mdef"":15}","{""def"":14,""mag"":18,""mdef"":18}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"133","竜のブーツ","足","ブーツ","60","70","{""def"":12,""spd"":12}","{""def"":15,""spd"":15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"134","エルフのサンダル","足","くつ","60","70","{""spd"":17,""eva"":5}","{""spd"":20,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"141","隼の剣","武器","剣","70","80","{""atk"":27,""hit"":10,""eva"":10}","{""atk"":31,""hit"":10,""eva"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"142","破壊の鉄球","武器","斧","70","80","{""atk"":35,""spd"":-6,""hit"":-10}","{""atk"":41,""spd"":-6,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"143","フェニックスダガー","武器","短剣","70","80","{""atk"":19,""mag"":19,""cri"":5,""elmAtk"":{""火"":10}}","{""atk"":23,""mag"":23,""cri"":5,""elmAtk"":{""火"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"144","精霊の杖","武器","杖","70","80","{""mag"":33,""elmAtk"":{""火"":5,""水"":5,""風"":5,""雷"":5}}","{""mag"":39,""elmAtk"":{""火"":5,""水"":5,""風"":5,""雷"":5}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"145","竜の髭","武器","槍","70","80","{""atk"":31,""elmAtk"":{""火"":10}}","{""atk"":35,""elmAtk"":{""火"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"146","風の弓","武器","弓","70","80","{""atk"":31,""cri"":18,""hit"":-15,""elmAtk"":{""風"":10}}","{""atk"":35,""cri"":18,""hit"":-15,""elmAtk"":{""風"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"147","鏡の盾","盾","盾","70","80","{""def"":24,""mdef"":19,""elmRes"":{""光"":10}}","{""def"":28,""mdef"":21,""elmRes"":{""光"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"148","守りのルーン","盾","腕輪","70","80","{""atk"":15,""def"":18,""mag"":15,""mdef"":20,""resists_Debuff"":10}","{""atk"":17,""def"":20,""mag"":17,""mdef"":24,""resists_Debuff"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"149","隼の兜","頭","兜","70","80","{""def"":17,""mdef"":12,""hp"":34,""mp"":36}","{""def"":20,""mdef"":13,""hp"":38,""mp"":42}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"150","精霊の帽子","頭","帽子","70","80","{""def"":12,""mdef"":17,""hp"":36,""mp"":34}","{""def"":13,""mdef"":20,""hp"":42,""mp"":38}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"151","刃のよろい","体","鎧","70","80","{""def"":20,""mdef"":14}","{""def"":23,""mdef"":17}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"152","天使のローブ","体","ローブ","70","80","{""def"":14,""mag"":18,""mdef"":18,""elmRes"":{""光"":10}}","{""def"":17,""mag"":20,""mdef"":21,""elmRes"":{""光"":10}}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"153","天使のブーツ","足","ブーツ","70","80","{""def"":15,""spd"":15}","{""def"":17,""spd"":17}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"154","韋駄天のくつ","足","くつ","70","80","{""spd"":20,""eva"":5}","{""spd"":24,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"161","ロンリーメタルの剣","武器","剣","80","90","{""atk"":31,""cri"":10,""hit"":10}","{""atk"":36,""cri"":10,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"162","ロンリーメタルのオノ","武器","斧","80","90","{""atk"":41,""spd"":-6,""hit"":-10,""attack_Fear"":10}","{""atk"":46,""spd"":-6,""hit"":-10,""attack_Fear"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"163","ロンリーメタルの短剣","武器","短剣","80","90","{""atk"":23,""mag"":23,""cri"":5,""attack_Poison"":15}","{""atk"":26,""mag"":26,""cri"":5,""attack_Poison"":15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
