区分,登場MAP,ID,名称,Rank,種族,画像ID,流用元画像ID,HP,MP,攻撃,防御,素早さ,魔力,魔防,行動回数,属性耐性,スキル,通常ドロップ,レアドロップ,仲間化,図鑑文
通常敵,煉獄山脈,964,噴炎の巨岩兵,99,無生物,964,1551,1501,194,295,283,159,168,256,1,火:+55% / 水:-35%,1:こうげき(35%) / 104:火炎斬り(25%) / 306:しゃくねつ(25%) / 501:スクルト(15%),2005:星銀鋼 (14%),6:世界樹の雫 (4%),対象,噴火口の岩が集まって生まれた巨兵。胴の亀裂から炎を吐く。
通常敵,煉獄山脈,965,煉獄峰の暴君,100,魔族,965,601,1891,283,368,263,229,370,265,2,火:+55% / 水:-35%,1:こうげき(20%) / 153:紅蓮連撃(20%) / 224:メラガイアー(25%) / 310:紅蓮の炎(20%) / 711:はげしいおたけび(15%),6:世界樹の雫 (14%),105:まもりのたね (4%),対象,煉獄山脈の峰を支配する魔将。火口の魔力を鎧へ流し込む。
通常敵,灼熱の古城,1010,灼城の甲冑兵,101,無生物,1010,504,1566,200,304,290,163,173,263,1,火:+55% / 水:-35%,1:こうげき(35%) / 104:火炎斬り(25%) / 153:紅蓮連撃(25%) / 602:ルカナン(15%),6:世界樹の雫 (14%),2006:神鉄インゴット (4%),対象,古城の城壁と同じ鉱石で造られた甲冑兵。熱した刃を休みなく振るう。
通常敵,灼熱の古城,1011,焦土の宮廷魔導士,102,魔族,1011,1501,1172,318,94,188,218,404,282,1,火:+55% / 水:-35%,1:こうげき(20%) / 213:メラゾーマ(20%) / 224:メラガイアー(25%) / 233:神速メラガイアー(20%) / 500:バイキルト(15%),2061:世界の断片 (14%),6:世界樹の雫 (4%),対象,滅びた宮廷の術式を守る魔導士。焦土の記憶を炎として再現する。
通常敵,灼熱の古城,1012,炎冠のガーゴイル,103,魔族,1012,505,1250,232,347,200,276,301,212,1,火:+55% / 水:-35%,1:こうげき(35%) / 104:火炎斬り(25%) / 306:しゃくねつ(25%) / 701:おたけび(15%),6:世界樹の雫 (14%),2022:賢者の石片 (4%),対象,尖塔に巣食う翼魔。石の皮膚を赤熱させて急降下する。
通常敵,灼熱の古城,1013,焼尽の処刑人,104,魔族,1013,754,1386,196,400,248,228,194,214,1,火:+55% / 水:-35%,1:こうげき(35%) / 153:紅蓮連撃(25%) / 135:天下無双(25%) / 224:メラガイアー(15%),2037:古竜の爪 (14%),1071:脱力の呪香 (4%),対象,焼けた大剣を引きずる処刑人。標的を逃がさず一撃ずつ追い詰める。
通常敵,灼熱の古城,1014,古城の紅蓮竜,105,竜,1014,1152,2091,306,395,281,245,397,283,2,火:+55% / 水:-35%,1:こうげき(20%) / 224:メラガイアー(20%) / 306:しゃくねつ(25%) / 310:紅蓮の炎(20%) / 714:竜の咆哮(15%),1071:脱力の呪香 (14%),102:ちからのたね (4%),対象,古城の地下で育った紅蓮竜。吐息が石床を溶かし退路を塞ぐ。
通常敵,夢幻回廊リドパルム,1056,夢蝕みのモルフォ,106,獣,1056,403,1325,243,361,208,288,313,220,1,闇:+55% / 光:-35%,1:こうげき(35%) / 214:ドルモーア(25%) / 225:ドルマドン(25%) / 703:マホトーン(15%),1053:堅守の戦香 (14%),2038:神獣の爪 (4%),対象,夢の明暗を鱗粉にして散らす魔蝶。眠った者の記憶を少しずつ喰う。
通常敵,夢幻回廊リドパルム,1057,光葬の巡礼者,107,精霊,1057,604,1291,342,100,201,233,433,301,1,光:+55% / 闇:-35%,1:こうげき(20%) / 126:ギガスラッシュ(20%) / 218:イオナズン(25%) / 228:シャイニング(20%) / 408:ひかりのはどう(15%),2029:天馬の羽 (14%),6:世界樹の雫 (4%),対象,光を弔いの布へ織り込んだ巡礼者。祈りとともに眩い刃を放つ。
通常敵,夢幻回廊リドパルム,1058,影縫いの幻術師,108,魔族,1058,503,1315,348,102,203,236,439,305,1,闇:+55% / 光:-35%,1:こうげき(20%) / 114:暗黒剣(20%) / 225:ドルマドン(25%) / 704:スキルブレイク(20%) / 601:ボミオス(15%),6:世界樹の雫 (14%),2038:神獣の爪 (4%),対象,影を糸のように操る幻術師。相手の動きを写した偽像を作る。
通常敵,夢幻回廊リドパルム,1059,白黒の鏡魔,109,精霊,1059,603,1825,226,339,322,182,193,292,1,光:+40% / 闇:+40% / 混沌:+20%,1:こうげき(20%) / 218:イオナズン(20%) / 225:ドルマドン(25%) / 227:イオグランデ(20%) / 503:マジックバリア(15%),2021:虹の結晶 (14%),6:世界樹の雫 (4%),対象,光と闇を両面に映す鏡魔。受けた術を歪めて撃ち返す。
通常敵,夢幻回廊リドパルム,1060,昏迷の回廊獣,110,獣,1060,1303,2291,329,421,299,261,424,302,2,闇:+50% / 光:-30% / 混沌:+20%,1:こうげき(20%) / 132:超はやぶさ斬り(20%) / 234:連続ドルマドン(25%) / 314:闇の流星(20%) / 711:はげしいおたけび(15%),6:世界樹の雫 (14%),105:まもりのたね (4%),対象,回廊で迷った夢が獣となったもの。視線を合わせると方向感覚を奪われる。
通常敵,災禍の根ジャゴレア,1105,根喰らいの天使骸,111,死霊,1105,1404,1449,261,385,221,306,334,234,1,光:+30% / 闇:+55%,1:こうげき(20%) / 126:ギガスラッシュ(20%) / 225:ドルマドン(25%) / 312:シャイニングブレス(20%) / 703:マホトーン(15%),6:世界樹の雫 (15%),2023:混沌の核 (5%),対象,根に取り込まれた天使の骸。残った光が闇の枝から漏れている。
通常敵,災禍の根ジャゴレア,1106,闇芽のアルラウネ,112,植物,1106,701,1410,368,107,213,248,462,320,1,闇:+55% / 光:-35%,1:こうげき(15%) / 214:ドルモーア(35%) / 225:ドルマドン(30%) / 700:どくのいき(20%),2014:神木の欠片 (15%),1033:終焉の器 (5%),対象,闇を養分に咲く魔樹。蔓が触れた相手の魔力を根へ吸い上げる。
通常敵,災禍の根ジャゴレア,1107,災光の祭司,113,魔族,1107,1604,1434,372,108,216,251,468,324,1,光:+55% / 闇:-35%,1:こうげき(20%) / 218:イオナズン(20%) / 227:イオグランデ(25%) / 604:やみのはどう(20%) / 408:ひかりのはどう(15%),1018:天嵐の器 (15%),2063:終焉の黒玉 (5%),対象,災いを光として崇める祭司。祈りのたび根脈が脈打つ。
通常敵,災禍の根ジャゴレア,1108,執念の根獣,114,獣,1108,1601,1656,226,454,280,259,221,243,1,闇:+40% / 混沌:+30% / 光:-25%,1:こうげき(20%) / 148:邪神の爪(20%) / 234:連続ドルマドン(25%) / 313:ダークネスブレス(20%) / 711:はげしいおたけび(15%),2046:神獣の聖皮 (15%),6:世界樹の雫 (5%),対象,切られても根から這い戻る魔獣。執念だけで傷口を塞ぐ。
通常敵,災禍の根ジャゴレア,1109,ジャゴレアの落胤,115,魔族,1109,1452,2491,352,448,317,278,451,320,2,混沌:+55% / 光:+20% / 闇:+20%,1:こうげき(20%) / 238:ビッグバン(20%) / 242:アビスウォール(25%) / 315:魔触(20%) / 705:いてつくはどう(15%),6:世界樹の雫 (15%),102:ちからのたね (5%),対象,ジャゴレアの根から分かれた幼体。光と闇を区別せず飲み込む。
通常敵,次元牢獄クロノアビス,1156,時牢の番人,116,機械,1156,1603,2052,248,369,349,198,210,318,1,混沌:+55% / 雷:-25%,1:こうげき(35%) / 157:ラグナブレード(25%) / 220:ジゴスパーク(25%) / 602:ルカナン(15%),6:世界樹の雫 (15%),2007:アビスメタル (5%),対象,時間の歯車を胸に埋めた番人。侵入者の動きを一瞬だけ遅らせる。
通常敵,次元牢獄クロノアビス,1157,逆刻のキマイラ,117,獣,1157,303203,1598,283,414,237,329,360,251,1,混沌:+55% / 光:-25%,1:こうげき(20%) / 148:邪神の爪(20%) / 239:ねんじボール(25%) / 315:魔触(20%) / 711:はげしいおたけび(15%),2038:神獣の爪 (15%),6:世界樹の雫 (5%),対象,異なる時代の獣が継ぎ合わされた魔物。攻撃の間合いが絶えず変わる。
通常敵,次元牢獄クロノアビス,1158,虚時の魔女,118,魔族,1158,1901,1552,398,115,228,266,496,343,1,混沌:+60% / 光:-30%,1:こうげき(20%) / 220:ジゴスパーク(20%) / 238:ビッグバン(25%) / 245:カオスショック(20%) / 604:やみのはどう(15%),6:世界樹の雫 (15%),2023:混沌の核 (5%),対象,失われた時間を珠に封じる魔女。砕けた未来を混沌の術へ変える。
通常敵,次元牢獄クロノアビス,1159,次元断ちの竜兵,119,竜人,1159,1355,1791,242,482,296,274,234,257,1,混沌:+55% / 闇:+30%,1:こうげき(20%) / 157:ラグナブレード(20%) / 165:クライムハザード(25%) / 315:魔触(20%) / 714:竜の咆哮(15%),2038:神獣の爪 (15%),1051:剛力の戦香 (5%),対象,次元の裂け目を刃にまとわせる竜兵。防具ごと空間を切り離す。
通常敵,次元牢獄クロノアビス,1160,混沌牢の看守長,120,魔族,1160,1804,2691,375,474,335,294,478,338,2,混沌:+70% / 光:+20% / 闇:+20%,1:こうげき(20%) / 238:ビッグバン(20%) / 242:アビスウォール(25%) / 245:カオスショック(20%) / 705:いてつくはどう(15%),1051:剛力の戦香 (15%),105:まもりのたね (5%),対象,牢獄の時間流を管理する看守長。戦場そのものを混沌へ傾ける。
ボス,最果ての地カルメナ,302001,深淵門将レオン,85,魔族,302001,401010,10500,900,285,275,230,250,270,2,光:+70%,1:こうげき(25%) / 156:ゴッドハンド(25%) / 227:イオグランデ(25%) / 408:ひかりのはどう(25%),105:まもりのたね (100%),106:スキルのたね (5%),ボス,カルメナ北門を守る剣将。光をまとった連撃で退路を断つ。
ボス,最果ての地カルメナ,302000,深淵門将グレン,85,魔族,302000,401020,11500,850,305,300,205,265,285,2,闇:+70%,1:こうげき(25%) / 157:ラグナブレード(25%) / 225:ドルマドン(25%) / 408:ひかりのはどう(25%),102:ちからのたね (100%),106:スキルのたね (5%),ボス,カルメナ北門を守る獣将。重い一撃と混沌の術を同時に操る。
ボス,黒縄のピラミッド,302010,黒雷のレナード,95,魔族,302010,401030,15500,1200,340,325,275,365,335,2,雷:+70%,118:サンダーボルト(20%) / 226:ギガデイン(25%) / 230:裁きの雷霆(30%) / 237:ジゴデイン(25%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,黒雷を受け入れたレナード。雷霆を連ね、結界の核を守る。
ボス,魔風の霊廟,302020,死風のエリシア,95,魔族,302020,401040,15000,1250,315,300,320,370,330,2,風:+70%,127:しんくうは(20%) / 215:バギクロス(25%) / 222:バギムーチョ(30%) / 236:烈風バギムーチョ(25%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,死者の風をまとったエリシア。速度と風術で戦列を崩す。
ボス,氷刻の浄罪路,302030,極零のシーリス,105,魔族,302030,401050,19000,1500,350,390,285,405,410,2,水:+70%,139:絶対零刀(20%) / 221:マヒャデドス(25%) / 235:氷塊マヒャデドス(25%) / 307:絶対零度(30%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,極零の力に囚われたシーリス。氷結と回復を織り交ぜる。
ボス,灼熱の古城,302040,焦熱のグラド,105,魔族,302040,401060,19500,1450,390,365,300,420,375,2,火:+70%,155:ギガブレイク(20%) / 224:メラガイアー(25%) / 243:フェニックスフレア(25%) / 310:紅蓮の炎(30%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,焦熱を鎧としたグラド。炎の連撃で長期戦を許さない。
ボス,夢幻回廊リドパルム,302050,昏迷の黒騎士ヴェルド,110,魔族,302050,401070,22000,1750,410,420,330,430,440,2,闇:+70%,140:紫電一閃(20%) / 166:ラグナロク(25%) / 234:連続ドルマドン(25%) / 314:闇の流星(30%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,夢と闇に沈んだ黒騎士ヴェルド。光と闇の境を断ち切る。
ボス,災禍の根ジャゴレア,302060,妄執の神官ジャスパー,115,魔族,302060,401090,25000,1900,405,445,315,470,465,2,混沌:+70%,160:グランドネビュラ(20%) / 227:イオグランデ(25%) / 232:イオマータ(25%) / 247:ジエンド(30%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,災禍の根へ祈りを捧げ続ける神官。執念が混沌を増幅する。
ボス,次元牢獄クロノアビス,302070,混沌姫イルミナシア,120,魔族,302070,401081,29000,2200,455,470,360,510,490,3,混沌:+70%,157:ラグナブレード(20%) / 238:ビッグバン(25%) / 245:カオスショック(30%) / 315:魔触(25%),99:ちいさなメダル (100%),106:スキルのたね (5%),ボス,次元牢獄を統べる混沌姫。旧きリリスの力を完全に解放している。
ボス,混沌魔城レガシオン／火のプリズム,502001,火の大精霊,112,魔族,502001,354,24000,1800,390,400,330,470,420,2,火:+70%,1:こうげき(20%) / 224:メラガイアー(20%) / 233:神速メラガイアー(25%) / 310:紅蓮の炎(20%) / 503:マジックバリア(15%),イベント報酬／なし,イベント報酬／なし,ボス,炎のプリズムに宿る大精霊。火の加護に耐える者を試す。
ボス,混沌魔城レガシオン／水のプリズム,502002,水の大精霊,112,魔族,502002,351,24000,1800,360,430,315,475,455,2,水:+70%,1:こうげき(20%) / 221:マヒャデドス(20%) / 235:氷塊マヒャデドス(25%) / 307:絶対零度(20%) / 404:エリアヒール(15%),イベント報酬／なし,イベント報酬／なし,ボス,水のプリズムに宿る大精霊。氷と癒やしを同時に操る。
ボス,混沌魔城レガシオン／風のプリズム,502003,風の大精霊,112,魔族,502003,654,23500,1800,375,365,390,465,420,2,風:+70%,1:こうげき(20%) / 222:バギムーチョ(20%) / 236:烈風バギムーチョ(25%) / 311:ウイングダイブ(20%) / 502:ピオリム(15%),イベント報酬／なし,イベント報酬／なし,ボス,風のプリズムに宿る大精霊。目で追えない速さで間合いを変える。
ボス,混沌魔城レガシオン／雷のプリズム,502004,雷の大精霊,112,魔族,502004,901,24000,1800,405,390,350,470,420,2,雷:+70%,1:こうげき(20%) / 226:ギガデイン(20%) / 230:裁きの雷霆(25%) / 237:ジゴデイン(20%) / 601:ボミオス(15%),イベント報酬／なし,イベント報酬／なし,ボス,雷のプリズムに宿る大精霊。連続する雷霆で守りを砕く。
ボス,混沌魔城レガシオン／光のプリズム,502005,光の大精霊,112,魔族,502005,604,24500,1850,380,410,340,485,450,2,光:+70%,1:こうげき(20%) / 227:イオグランデ(20%) / 228:シャイニング(25%) / 312:シャイニングブレス(20%) / 408:ひかりのはどう(15%),イベント報酬／なし,イベント報酬／なし,ボス,光のプリズムに宿る大精霊。裁きと浄化の光を放つ。
ボス,混沌魔城レガシオン／闇のプリズム,502006,闇の大精霊,112,魔族,502006,1053,24500,1850,390,400,350,490,445,2,闇:+70%,1:こうげき(20%) / 225:ドルマドン(20%) / 234:連続ドルマドン(25%) / 314:闇の流星(20%) / 604:やみのはどう(15%),イベント報酬／なし,イベント報酬／なし,ボス,闇のプリズムに宿る大精霊。影を重ねて魔力を封じる。
