category,id,name,rank,old_hp,new_hp,old_mp,new_mp,old_atk,new_atk,old_def,new_def,old_mag,new_mag,old_mdef,new_mdef,old_spd,new_spd,old_exp,new_exp
通常敵,1354,ボルトアクス,136,1809,3256,181,226,486,608,311,389,18,22,261,326,257,283,10500,3400
強敵,1355,ラグナドラグーン,136,2412,4342,330,412,398,498,362,452,398,498,371,464,286,315,17325,5800
通常敵,1401,グリムレイス,141,1523,3046,264,343,380,513,161,217,536,724,306,413,312,349,12000,3900
通常敵,1402,ネクロヴェイル,141,1642,3284,214,278,608,821,319,431,289,390,306,413,275,308,12000,3900
通常敵,1403,ネメシスユニット,141,1710,3420,186,242,599,809,360,486,245,331,319,431,213,239,12000,3900
通常敵,1404,ヘルエンゼル,141,1620,3240,296,385,19,26,228,308,608,821,351,474,213,239,12000,3900
通常敵,1451,アークベリアル,146,1688,3376,304,395,438,591,299,404,608,821,329,444,275,308,13500,4400
通常敵,1452,ウロボロス,146,1784,3568,273,355,464,626,306,413,548,740,306,413,157,176,13500,4400
通常敵,1453,エルダーリッチ,146,1642,3284,313,407,189,255,246,332,608,821,351,474,257,288,13500,4400
強敵,1454,デビルキング,146,2164,4328,325,422,489,660,340,459,496,670,360,486,324,363,22275,7500
通常敵,1455,ドレッドノート,146,1753,3506,193,251,608,821,360,486,19,26,319,431,257,288,13500,4400
通常敵,1501,アビスロード,151,2012,4024,330,429,552,745,349,471,694,937,369,498,346,388,16000,5000
通常敵,1502,エレシュキガル,151,1757,3514,354,460,437,590,182,246,694,937,380,513,384,430,16000,5000
通常敵,1503,バルムガルド,151,2151,4302,296,385,677,914,369,498,677,914,360,486,309,346,16000,5000
通常敵,1504,ルインシェイド,151,2106,4212,199,259,713,963,408,551,252,340,360,486,288,323,16000,5000
通常敵,1551,イビルフレイム,156,1811,3622,362,471,19,26,182,246,746,1007,390,526,384,430,18500,5600
通常敵,1552,ヴァルファング,156,2059,4118,206,268,746,1007,313,423,17,23,252,340,397,445,18500,5600
通常敵,1553,ヴェルドクローン,156,2196,4392,362,471,694,937,390,526,746,1007,390,526,360,403,18500,5600
強敵,1554,ラグナビースト,156,2634,5268,459,597,574,775,408,551,595,803,408,551,384,430,30525,9500
通常敵,1555,竜将ダハーカ,156,2196,4392,290,377,730,986,369,498,478,645,360,486,346,388,18500,5600
通常敵,1601,牙王マルバス,161,2358,5188,211,295,645,935,321,465,20,29,139,202,441,507,22000,6300
通常敵,1602,黒翼司祭アスタロト,161,2089,4596,376,526,284,412,268,389,645,935,418,606,395,454,22000,6300
通常敵,1603,災厄機兵ヴリトラ,161,2597,5713,211,295,657,953,471,683,232,336,378,548,311,358,22000,6300
通常敵,1604,魔導装甲ジャッジ,161,2520,5544,362,507,568,824,488,708,635,921,399,579,296,340,22000,6300
通常敵,1651,アビスデーモン,166,2520,5544,376,526,613,889,399,579,635,921,399,579,355,408,26000,7000
通常敵,1652,シャドウマシーン,166,2597,5713,218,305,657,953,471,683,20,29,378,548,370,425,26000,7000
通常敵,1653,ダークワイバーン,166,2673,5881,362,507,645,935,399,579,635,921,399,579,395,454,26000,7000
通常敵,1654,ネクロマンサー,166,2183,4803,391,547,329,477,196,284,657,953,437,634,418,481,26000,7000
強敵,1655,翼竜王ヴリトラ,166,3451,7592,404,566,519,753,488,708,519,753,437,634,418,481,42900,11900
通常敵,1701,轟雷執事バアル,171,3064,6741,362,507,696,1009,447,648,696,1009,408,592,379,436,31000,7800
通常敵,1702,終焔執事スルト,171,3064,6741,362,507,696,1009,447,648,696,1009,408,592,379,436,31000,7800
通常敵,1703,凍獄執事コキュートス,171,3064,6741,362,507,696,1009,447,648,696,1009,408,592,379,436,31000,7800
通常敵,1704,冥王タナトス,171,3381,7438,362,507,447,648,447,648,696,1009,408,592,192,221,31000,7800
通常敵,1751,アビスドラゴン,176,3500,7700,404,566,734,1064,465,674,734,1064,447,648,405,466,36500,8600
通常敵,1752,イービルレイス,176,2998,6596,430,602,20,29,224,325,765,1109,482,699,429,493,36500,8600
強敵,1753,屍竜ファフニール,176,4239,9326,430,602,607,880,500,725,607,880,482,699,429,493,60225,14600
通常敵,1754,魔触アルラウネ,176,3064,6741,404,566,239,347,342,496,754,1093,447,648,287,330,36500,8600
通常敵,1755,冥騎士ベレト,176,3259,7170,256,358,754,1093,465,674,414,600,408,592,364,419,36500,8600
通常敵,1801,カラミティナイト,181,3722,9305,256,384,848,1357,529,846,491,786,458,733,372,446,45000,9500
通常敵,1802,デスアーマー,181,3995,9988,236,354,830,1328,591,946,274,438,476,762,310,372,45000,9500
通常敵,1803,黒炎竜アモン,181,3995,9988,417,626,848,1357,529,846,848,1357,494,790,414,497,45000,9500
通常敵,1804,深淵のキルケー,181,3550,8875,467,700,21,34,324,518,859,1374,529,846,414,497,45000,9500
通常敵,1851,アスモデウス,186,4199,10498,296,444,867,1387,561,898,491,786,494,790,387,464,52500,10500
通常敵,1852,グレイブロード,186,3550,8875,467,700,386,618,229,366,867,1387,529,846,438,526,52500,10500
通常敵,1853,ヨルムンガンド,186,4298,10745,417,626,519,830,529,846,848,1357,494,790,207,248,52500,10500
通常敵,1854,機神アマデウス,186,4249,10622,243,364,867,1387,619,990,21,34,494,790,438,526,52500,10500
強敵,1855,滅神アポカリプス,186,5265,13162,280,420,694,1110,647,1035,21,34,529,846,462,554,86625,17850
通常敵,1901,ソウルイーター,191,4257,10642,511,766,533,853,242,387,976,1562,574,918,462,554,65000,11600
通常敵,1902,混沌装甲アケローン,191,4916,12290,249,374,976,1562,676,1082,308,493,574,918,326,391,65000,11600
通常敵,1903,常闇のリリス,191,4738,11845,511,766,756,1210,574,918,976,1562,574,918,438,526,65000,11600
通常敵,1904,魔竜騎兵カイン,191,4916,12290,417,626,976,1562,604,966,713,1141,541,866,451,541,65000,11600
通常敵,1951,ウロボロスロード,196,5173,12932,792,1188,563,901,633,1013,941,1506,604,966,231,277,80000,12800
通常敵,1952,獄機ヘルマジンガ,196,5173,12932,256,384,976,1562,741,1186,21,34,633,1013,438,526,80000,12800
強敵,1953,審判機神ジャジメント,196,6233,15582,416,624,775,1240,775,1240,21,34,661,1058,473,568,132000,21750
通常敵,1954,大魔導ジャミラ,196,5090,12725,572,858,21,34,383,613,976,1562,633,1013,462,554,80000,12800
通常敵,1955,竜王ティアマト,196,5173,12932,511,766,976,1562,633,1013,941,1506,604,966,438,526,80000,12800
終盤ストーリーボス,302070,混沌姫イルミナシア,120,29000,48000,2200,2600,440,550,470,590,490,640,490,620,360,405,110000,35000
終盤ストーリーボス,302080,雷柱レナード,122,15500,22000,1800,2100,430,520,420,500,465,570,430,510,335,375,20000,8000
終盤ストーリーボス,302081,風柱エリシア,122,15000,21500,1800,2100,405,485,390,470,470,580,420,500,390,445,20000,8000
終盤ストーリーボス,302082,水柱シーリス,122,16000,23000,1850,2200,390,470,445,535,475,590,455,555,330,370,20000,8000
終盤ストーリーボス,302083,火柱グラド,122,16000,23000,1800,2100,450,550,415,500,470,580,430,510,345,390,20000,8000
終盤ストーリーボス,302084,闇柱ヴェルド,122,19000,27000,1900,2300,420,510,480,580,520,650,500,610,355,400,20000,8000
終盤ストーリーボス,302100,深淵王アゼルガラグ,125,38000,62000,2600,3400,500,660,520,680,535,710,520,680,365,430,100000,30000
終盤ストーリーボス,302101,深淵王アゼルガラグ・終極,130,48000,92000,3000,4400,560,790,585,830,600,850,580,820,405,485,180000,45000
精霊試練ボス,502001,火の大精霊,112,24000,39000,1800,2200,390,480,400,500,470,590,420,510,330,370,60000,30000
精霊試練ボス,502002,水の大精霊,112,24000,39000,1800,2300,360,450,430,540,475,600,455,570,315,355,60000,30000
精霊試練ボス,502003,風の大精霊,112,23500,38000,1800,2200,375,465,365,460,465,585,420,510,390,455,60000,30000
精霊試練ボス,502004,雷の大精霊,112,24000,39000,1800,2200,405,510,390,490,470,590,420,510,350,405,60000,30000
精霊試練ボス,502005,光の大精霊,112,24500,40000,1850,2350,380,470,410,510,485,620,450,560,340,385,60000,30000
精霊試練ボス,502006,闇の大精霊,112,24500,40000,1850,2350,390,480,400,500,490,625,445,550,350,400,60000,30000
強敵,120302,呪宝箱パンドラ,140,4020,8040,630,819,558,753,615,830,603,814,597,806,414,464,21000,6450
強敵,120303,深淵宝匣アケロン,190,7020,17550,1080,1620,885,1416,942,1507,957,1531,978,1565,603,724,63000,19550
