ID,種別,対象,属性,元の名称,修正版名称,元の説明,修正版説明,変更項目
133,物理,単体,,不死鳥天舞,フェニクシア,再生を伴う4連撃,不死鳥の軌跡を描く、再生を伴う4連撃,説明・名称
134,物理,単体,,九龍連斬,九頭竜,9頭の龍の如き連撃,九頭の竜が襲うかのような9連撃,説明・名称
135,物理,単体,,天下無双,無尽の連牙,怒涛の6連撃,途切れることのない怒涛の6連撃,説明・名称
136,物理,単体,,蒼天魔斬,蒼天落とし,相手をひるませる強力な一撃,相手をひるませる強力な一撃,名称
137,物理,全体,闇,黒の斬撃,ノクティルカ,闇属性全体物理攻撃,闇属性全体物理攻撃,名称
138,物理,全体,雷,ギガスロー,ヴォルティガ,雷属性全体物理攻撃,雷属性全体物理攻撃,名称
139,物理,全体,水,絶対零刀,ニヴルヘイム,氷属性全体物理攻撃,氷属性全体物理攻撃,名称
140,物理,全体,闇,紫電一閃,紫電の葬閃,光速で放つ闇属性全体物理攻撃,闇をまとった神速の一閃で敵全体を断つ,説明・名称
141,物理,全体,火,紅蓮剣舞,紅蓮の輪舞,火属性全体物理攻撃2連,火属性全体物理攻撃2連,名称
142,物理,ランダム,,超さみだれ突き,豪雨の槍,強力なランダム4回攻撃,強力なランダム4回攻撃,名称
143,物理,単体,,鉄甲斬,鎧穿ち,相手の守備力と素早さを下げる一撃,相手の守備力と素早さを下げる一撃,名称
144,物理,単体,,真やいばくだき,力脈断ち,相手の攻撃力と魔力を大きく下げる一撃,力の流れを断ち、攻撃力と魔力を大きく下げる,説明・名称
145,物理,全体,,天魔旋風脚,天輪脚,全体物理攻撃2連,全体物理攻撃2連,名称
146,物理,ランダム,光,シャイニングボウ,アステリア,光のランダム6回攻撃,光のランダム6回攻撃,名称
147,物理,ランダム,,ゴッドジャグリング,アルレッキーノ,攻撃力をさげることがある8回ランダム攻撃,幻惑する投擲で8回攻撃し、攻撃力を下げることがある,説明・名称
148,物理,単体,,邪神の爪,アガレスの爪,邪神の３連続攻撃,邪神の爪による3連続攻撃,説明・名称
149,物理,単体,,魔人の絶技,ヘキサグリム,魔人のごとき6連続攻撃,禍々しい気をまとった6連続攻撃,説明・名称
150,物理,単体,,八刀一閃,オクタヴィア,誰よりも速く八つの刃で切り刻む,八つの刃が一瞬で敵を切り刻む,説明・名称
151,物理,単体,,大魔人斬り,羅刹一文字,防御無視の強烈な会心攻撃,防御無視の強烈な会心攻撃,名称
152,物理,全体,,テールスイング,ドラグヴェント,強烈な尻尾攻撃2連,強烈な尻尾攻撃2連,名称
153,物理,単体,火,紅蓮連撃,イグニス・セクスタ,敵単体に6連続の炎属性物理ダメージ,敵単体を焼き裂く6連続の火属性物理攻撃,説明・名称
154,物理,単体,,ライガークラッシュ,レグルスの五爪,強力な爪の5回攻撃,強力な爪の5回攻撃,名称
155,物理,全体,雷,ギガブレイク,ケラウノス,伝説の剣技,雷霆を剣に宿して敵全体を断つ伝説の剣技,説明・名称
156,物理,単体,光,ゴッドハンド,デウス・マヌス,神の拳,神威を宿した拳による究極の一撃,説明・名称
157,物理,単体,混沌,ラグナブレード,ラグナヴェイン,守備力を大きく下げる神を切り裂く混沌の一撃,神すら切り裂く混沌の一撃で守備力を大きく下げる,説明・名称
158,物理,単体,雷,ギガクロスブレイク,ケラウノス・ディア,伝説の雷の2連撃,雷霆を交差させる伝説の2連撃,説明・名称
159,物理,全体,風,グランドクロス,セラフィカ,十字に切り裂く2連撃,十字に切り裂く2連撃,名称
160,物理,全体,光,グランドネビュラ,アストライア,敵全体に聖なる光の一撃,敵全体を聖なる星光で討ち滅ぼす,説明・名称
161,物理,全体,,疾風迅雷,神速薙ぎ,神速で敵全体を薙ぎ払う,神速で敵全体を薙ぎ払う,名称
162,物理,単体,,アルテマソード,エクスティンクション,防御を無視する究極の剣技,防御を無視して存在そのものを断つ究極剣技,説明・名称
163,物理,全体,,ストックブレイク,グランディオス,敵全体を打ち砕く必殺の一撃,大地を砕く衝撃で敵全体を打ち崩す,説明・名称
164,物理,単体,雷,ショック,ヴォルテクシア,剣に収束させた雷を放出し敵を討ち滅ぼす,剣に収束させた雷を解き放ち、敵を討ち滅ぼす,説明・名称
165,物理,全体,,クライムハザード,アルカディオン,敵全体を打ち砕く極限の聖剣技,極限まで高めた聖剣の力で敵全体を滅する,説明・名称
166,物理,ランダム,闇,ラグナロク,フィンブルヴェイン,終焉の5連撃,終焉を告げる闇の5連撃,説明・名称
167,物理,単体,,王者の一閃,レガリア,王者の威光を纏った一撃,王者の威光で敵を屈服させる一撃,説明・名称
168,物理,単体,,プリズマエンド,プリズマ・レクイエム,全てを断ち切る大魔王の右腕,万象を断ち切る大魔王の奥義,説明・名称
200,魔法,単体,火,メラ,イグナ,小火球,小火球,名称
201,魔法,単体,水,ヒャド,ニヴァ,氷の刃,氷の刃,名称
202,魔法,全体,風,バギ,ヴェント,真空の刃,真空の刃,名称
203,魔法,単体,闇,ドルマ,ノクス,闇の弾,闇の弾,名称
204,魔法,全体,火,ギラ,フラマ,炎の閃光,炎の閃光,名称
205,魔法,全体,光,イオ,ルクス,光の小爆発,光の小爆発,名称
206,魔法,単体,雷,ライデイン,ヴォルタ,落雷,落雷,名称
207,魔法,単体,火,メラミ,イグニア,中火球,中火球,名称
208,魔法,単体,闇,ドルクマ,ノクティア,闇の中爆発,闇の中爆発,名称
209,魔法,全体,火,ベギラマ,フラミア,灼熱の帯,灼熱の帯,名称
210,魔法,全体,水,ヒャダルコ,ニヴァリオ,氷の波動,氷の波動,名称
211,魔法,全体,風,バギマ,ヴェンティア,真空の嵐,真空の嵐,名称
212,魔法,全体,光,イオラ,ルクシア,中爆発,中爆発,名称
213,魔法,単体,火,メラゾーマ,イグナリス,大火球,大火球,名称
214,魔法,単体,闇,ドルモーア,ノクタリス,闇の爆発,闇の爆発,名称
215,魔法,全体,風,バギクロス,ヴェントリス,真空の大嵐,真空の大嵐,名称
216,魔法,全体,火,ベギラゴン,フラマリス,灼熱の波動,灼熱の波動,名称
217,魔法,全体,水,マヒャド,ニヴァロア,貫く氷塊,貫く氷塊,名称
218,魔法,全体,光,イオナズン,ルクシオン,大爆発,大爆発,名称
219,魔法,ランダム,火,プチメテオ,アステラ,小隕石落とし,小さな星片を連続して降らせる,説明・名称
220,魔法,全体,混沌,ジゴスパーク,ケイオスヴォルト,地獄の雷,地獄の雷,名称
221,魔法,全体,水,マヒャデドス,ニヴァノヴァ,極大氷呪文,極大氷呪文,名称
222,魔法,全体,風,バギムーチョ,ヴェントノヴァ,極大風魔法,極大風魔法,名称
223,魔法,全体,火,ギラグレイド,フラマノヴァ,極大炎魔法,極大炎魔法,名称
224,魔法,単体,火,メラガイアー,イグナレクス,極大火炎呪文,極大火炎呪文,名称
225,魔法,単体,闇,ドルマドン,ノクスレクス,極大闇魔法,極大闇魔法,名称
226,魔法,全体,雷,ギガデイン,ヴォルテリオン,極大雷呪文,極大雷呪文,名称
227,魔法,全体,光,イオグランデ,ルクスノヴァ,極大爆発,極大爆発,名称
228,魔法,全体,光,シャイニング,セラフィア,敵全体を打ち滅ぼす聖なる光,敵全体を打ち滅ぼす聖なる光,名称
229,魔法,単体,水,凍てつく氷錐,ニヴァレクス,凍てつく極大魔法,凍てつく極大魔法,名称
230,魔法,ランダム,雷,裁きの雷霆,ヴォルタ・カエルム,雷魔法超ダメージ5連・感電付与,天より雷霆を降らせる4連続攻撃・感電付与,説明・名称
231,魔法,ランダム,火,メテオ,アステリオン,隕石落とし,巨大な星塊を連続して落とす,説明・名称
232,魔法,ランダム,光,イオマータ,ルクシオン・ノナ,失われた8連続の爆発呪文,失われた9連続の光爆魔法,説明・名称
233,魔法,ランダム,火,神速メラガイアー,イグナリス・トリア,失われた3連続の極大火炎,失われた3連続の極大火炎魔法,説明・名称
234,魔法,ランダム,闇,連続ドルマドン,ノクタリス・トリア,失われた3連続の極大闇魔法,失われた3連続の極大闇魔法,名称
235,魔法,全体,水,氷塊マヒャデドス,ニヴァノヴァ・デュオ,失われた2連続の極大氷呪文,失われた2連続の極大氷結魔法,説明・名称
236,魔法,全体,風,烈風バギムーチョ,ヴェントノヴァ・クアドラ,失われた4連続の極大風呪文,失われた4連続の極大風魔法,説明・名称
237,魔法,全体,雷,ジゴデイン,ヴォルテリオン・アーク,失われた極大雷呪文,失われた極大雷霆魔法,説明・名称
238,魔法,全体,混沌,ビッグバン,ケイオス・ジェネシス,天地を創造した混沌の光,天地創造の混沌を解き放つ,説明・名称
239,魔法,ランダム,混沌,ねんじボール,アニマ・ケイオス,混沌を秘めた球を複数生み出して投げつける,混沌を秘めた球を複数生み出して投げつける,名称
240,魔法,単体,,ルーンショット,エーテラ,無属性魔法・HP吸収,無属性魔法・HP吸収,名称
241,魔法,ランダム,,ルーンストーム,エーテリス,無属性ランダム4回攻撃魔法・HP吸収,無属性ランダム4回攻撃魔法・HP吸収,名称
242,魔法,全体,混沌,アビスウォール,アビサリア,厄災の壁,厄災の壁,名称
243,魔法,単体,火,フェニックスフレア,イグナ・アルケア,大魔王のメラゾーマ,大魔王のみが操る原初の極大火炎,説明・名称
244,魔法,全体,混沌,創世の魔力,アルケ・ジェネシス,世界を創り変える力,世界の理を書き換える創世魔法,説明・名称
245,魔法,全体,混沌,カオスショック,ケイオス・オメガ,全MPを消費し混沌の大爆発,全MPを燃やし、混沌の大爆発を引き起こす,説明・名称
246,魔法,ランダム,光,イルミナティブレイク,ルクス・トリア,全MPを消費しランダムに3回光属性の大ダメージ,全MPを光に変え、ランダムに3回大ダメージを与える,説明・名称
247,魔法,単体,闇,ジエンド,ノクス・フィーネ,全MPを消費し敵一人に闇属性の超ダメージ,全MPを闇に変え、敵単体に超大ダメージを与える,説明・名称
248,魔法,全体,,ロストプリズマ,プリズマ・アルカ,全体極大ダメージ,敵全体に極大の固定ダメージを与える,説明・名称
300,ブレス,全体,火,火炎の息,火炎の吐息,炎の息,炎の息,名称
301,ブレス,全体,水,こごえる吹雪,氷霧の吐息,冷たい息,冷たい息,名称
302,ブレス,全体,火,はげしい炎,焔獄の息,激しい炎,激しい炎,名称
303,ブレス,全体,闇,暗黒のきり,闇蝕の霧,暗黒のきりをまき散らし全体闇ダメージ,闇蝕の霧をまき散らし全体闇ダメージ,説明・名称
304,ブレス,全体,雷,いなずま,雷獣の息,稲妻を呼び出し全体雷ダメージ,稲妻を呼び出し全体雷ダメージ,名称
305,ブレス,全体,水,かがやく息,白銀凍気,極寒の息,極寒の息,名称
306,ブレス,全体,火,しゃくねつ,灼界の業火,灼熱の業火,灼熱の業火,名称
307,ブレス,全体,水,絶対零度,ニヴルヘイズ,全てを凍らす息,全てを凍らす息,名称
308,ブレス,全体,混沌,煉獄火炎,アビサリオン,地獄の炎で全体混沌ダメージ,地獄の炎で全体混沌ダメージ,名称
309,ブレス,全体,水,霜白の氷塊,ニヴァグラシア,全体水属性極大ダメージ＋魔力低下,全体水属性極大ダメージ＋魔力低下,名称
310,ブレス,全体,火,紅蓮の炎,イグナグラシア,全体火属性極大ダメージ＋攻撃低下,全体火属性極大ダメージ＋攻撃低下,名称
311,ブレス,全体,風,ウイングダイブ,ゼフィルカ,風属性全体2回攻撃＋速度大幅減,風属性全体2回攻撃＋速度大幅減,名称
312,ブレス,全体,光,シャイニングブレス,ルクス・サクラ,全体光属性極大ダメージ＋スキル封印,全体光属性極大ダメージ＋スキル封印,名称
313,ブレス,全体,闇,ダークネスブレス,ノクス・マレ,全体闇属性極大ダメージ＋全属性耐性ダウン,全体闇属性極大ダメージ＋全属性耐性ダウン,名称
314,ブレス,ランダム,闇,闇の流星,ノクス・アステラ,数多の流星がランダムに降り注ぎ闇の大ダメージ,数多の流星がランダムに降り注ぎ闇の大ダメージ,名称
315,ブレス,全体,混沌,魔触,マレディクト,闇の根源より漏れ出る災禍を操り異常をまき散らす,闇の根源から災禍を呼び、複数の状態異常をまき散らす,説明・名称
400,回復,単体,,ホイミ,ルナ,小回復,小回復,名称
401,回復,単体,,ベホイミ,ルナリア,中回復,中回復,名称
402,回復,自分,,めいそう,静心,HPを50%回復,HPを50%回復,名称
403,MP回復,自分,,無念無想,明鏡,MPを50%回復,MPを50%回復,名称
404,回復,全体,,エリアヒール,ルナティア,全体回復,全体回復,名称
405,特殊,全体,,キアリク,ルストラ,味方全体の状態異常を治療する,味方全体の状態異常を浄化する,説明・名称
406,特殊,自分,,不撓不屈,清明の構え,自身の弱体・状態異常を解除,自身の弱体効果と状態異常を払い清める,説明・名称
407,蘇生,単体,,ザオラル,リザ,50%蘇生,50%蘇生,名称
408,特殊,全体,,ひかりのはどう,ルストラティオ,味方全体の状態異常と弱体を解除,味方全体の状態異常と弱体効果を浄化する,説明・名称
409,特殊,全体,,いやしのあめ,恵雨の祈り,毎ターンHP回復,毎ターンHP回復,名称
410,特殊,全体,,まりょくのかぜ,魔泉の風,毎ターンMP回復,毎ターンMP回復,名称
411,回復,単体,,ファストエイド,ルナ・セレス,使い手の少ない最速の回復呪文,ごく一部の術者のみが扱える最速の回復魔法,説明・名称
412,回復,単体,,ベホイム,ルナリス,超回復,超回復,名称
413,回復,全体,,ベホマラー,ルナリオン,全体超回復,全体超回復,名称
414,蘇生,単体,,ザオリク,リザリス,100%蘇生,100%蘇生,名称
415,回復,自分,,不死鳥の灰,不死鳥の誓い,全てを受け止めて生還する不死鳥,あらゆる苦難を受け止め、不死鳥のごとく生還する,説明・名称
416,回復,全体,,世界樹の陽光,ルナ・ユグドラ,味方全体のHPを超回復し、状態異常を治療する,味方全体を大きく癒やし、状態異常と弱体効果を浄化する,説明・名称
417,回復,単体,,ベホマ,ルナレクス,完全回復,完全回復,名称
418,回復,全体,,ベホマズン,ルナノヴァ,全体完全回復,全体完全回復,名称
419,蘇生,全体,,ザオリーマ,リザノヴァ,味方全員を完全蘇生,味方全員を完全蘇生,名称
500,強化,単体,,バイキルト,ヴァルガ,攻撃力アップ,攻撃力アップ,名称
501,強化,全体,,スクルト,アルマティア,守備力アップ,守備力アップ,名称
502,強化,全体,,ピオリム,セレリオ,全体の素早さアップ,全体の素早さアップ,名称
503,強化,全体,,マジックバリア,エレメンタ,全体の全属性耐性アップ,全体の全属性耐性アップ,名称
504,強化,全体,,弓聖の守り星,アストラの加護,味方全体の状態異常耐性アップ,味方全体を星の加護で包み、状態異常耐性を高める,説明・名称
505,強化,単体,,キラキラポーン,無垢の護符,状態異常をすべて治療し、さらに耐性を最大にする,状態異常を浄化し、あらゆる異常への耐性を最大まで高める,説明・名称
506,強化,自分,,魔力覚醒,アルカナ覚醒,魔力超上昇,魔力超上昇,名称
507,強化,自分,,臥薪嘗胆,修羅の構え,精神を集中し攻撃力を大幅に上げるが、防御力が下がる,防御を捨て、攻撃力を極限まで高める,説明・名称
508,強化,全体,,たたかいのドラム,戦神の律動,味方全体の全ステータスUP,戦神の律動で味方全体の全能力を高める,説明・名称
509,強化,全体,,パラディンガード,アイギス,味方全体の全属性耐性超上昇,神盾の加護で味方全体の全属性耐性を大きく高める,説明・名称
510,強化,自分,,やみのころも,冥王の衣,自身の全ステータス・属性耐性・状態異常耐性UP,冥王の外套をまとい、全能力・属性耐性・状態異常耐性を高める,説明・名称
600,弱体,単体,,ルカニ,ディアルマ,敵の守備ダウン,敵の守備ダウン,名称
601,弱体,全体,,ボミオス,ディセレリオ,敵の素早さダウン,敵の素早さダウン,名称
602,弱体,全体,,ルカナン,ディアルマス,敵の守備ダウン,敵の守備ダウン,名称
603,弱体,単体,,ヘナトス,ディヴァルガ,敵の攻撃ダウン,敵の攻撃ダウン,名称
604,弱体,全体,,やみのはどう,ディミヌエンド,全能力ダウン,敵全体のあらゆる能力を低下させる,説明・名称
700,特殊,全体,,どくのいき,毒霧,どくのいき,毒霧を吐き出す,説明・名称
701,特殊,全体,,おたけび,獣咆,相手をひるませる叫び,獣の咆哮で敵全体をひるませる,説明・名称
702,特殊,全体,,もうどくのいき,猛毒霧,もうどくのいき,猛毒の霧を吐き出す,説明・名称
703,特殊,全体,,マホトーン,サイレントゥム,魔法と回復を封印する,魔法と回復術を封じる静寂の呪い,説明・名称
704,特殊,全体,,スキルブレイク,カテナ,特技を封印する,技の発動を縛る封印術,説明・名称
705,特殊,全体,,いてつくはどう,零相の波動,敵全体の強化を解除,敵全体の強化効果を虚無へ還す,説明・名称
706,特殊,単体,,ザキ,モルス,即死呪文,敵単体を死へ導く呪言,説明・名称
707,特殊,全体,,死の踊り,モルスの舞,敵全体を低確率で死にいざなう魔の踊り,敵全体を低確率で死へ誘う冥府の舞,説明・名称
708,特殊,全体,,ザラキ,モルスアリア,即死呪文,敵全体を死へ導く呪言,説明・名称
709,特殊,全体,,ザラキーマ,モルスレクス,高確率の即死呪文,敵全体を高確率で死へ導く上位呪言,説明・名称
710,特殊,ランダム,,地獄の舞い,冥府乱舞,敵を無差別に死にいざなう地獄の舞い,死の気配をまとい、敵を無差別に冥府へ誘う,説明・名称
711,特殊,全体,,はげしいおたけび,獣王咆,恐ろしいおたけび,獣王の咆哮で敵全体をひるませる,説明・名称
712,特殊,全体,,おぞましいおたけび,絶望の咆哮,心まで凍り付く恐ろしいおたけび,絶望を刻む咆哮で敵全体の心を凍らせる,説明・名称
713,特殊,全体,,死グモのトゲ,冥蛛の棘,,冥府の大蜘蛛が放つ棘で敵全体を蝕む,説明・名称
714,特殊,全体,,竜の咆哮,竜王咆哮,激しく咆哮し敵全体を怯ませていい効果を消し去る,竜王の咆哮で敵全体をひるませ、強化効果を消し去る,説明・名称
715,特殊,単体,,心ない天使,無慈悲なる手,無慈悲な一撃,慈悲を捨て、敵単体の生命を刈り取る,説明・名称
700101,強化,自分,,混沌の衣,混沌の外套,混沌をまとい、全能力と属性耐性を高める,混沌の外套をまとい、全能力と属性耐性を高める,説明・名称
