チュートリアルNo,JS_ID,一覧見出し案,一覧説明文案,ページNo,ページ見出し案,本文案,画像代替テキスト案,使用画像ファイル名
T11,t11-change-equipment,装備を変更しよう,装備候補と能力差の比較,1,装備を変更しよう,"変更したい装備枠を選び、所持している装備から候補を選ぼう。

変更前後の能力値だけでなく、装備固有の効果も比べることが大切です。",装備変更と能力比較の画面,assets/tutorial/0011.png
T12,t12-equipment-options,装備の付与効果を見よう,オプション、特性、シナジーの読み方,1,装備の付与効果を見よう,"同じ名前の装備でも、付与されたオプションによって性能が異なることがあります。

特性の組み合わせでシナジーが発生する場合もあるので、装備詳細を確認しよう。",装備オプションと特性、シナジー表示,assets/tutorial/0012.png
T13,t13-use-items,アイテムを使おう,回復アイテムと使用対象の選択,1,アイテムを使おう,"アイテムには、移動中に使える回復品、戦闘中に使う道具、錬金などで使う素材があります。

使用できるアイテムを選び、効果を与える仲間を選ぼう。",アイテム一覧と使用対象選択画面,assets/tutorial/0013.png
T14,t14-skill-growth,SPで仲間を育てよう,SPを使った能力・スキル育成,1,SPで仲間を育てよう,"獲得したSPを使うと、仲間の能力やスキルを成長させられます。

習得後の効果と必要SPを確認して、育成したい項目を選ぼう。",SPを使用するスキル育成画面,assets/tutorial/0014.png
T15,t15-defense-and-escape,防御と逃走を使おう,被害軽減、逃走、状態表示の確認,1,防御と逃走を使おう,"防御を選ぶと、そのターンに受けるダメージを抑えられます。危険な戦闘では逃走も選べます。

敵味方のHP、MP、状態変化は画面の表示から確認しよう。",戦闘中の防御、逃走、状態表示,assets/tutorial/0015.png
T16,t16-auto-and-speed,AUTOと戦闘速度を使おう,自動戦闘と進行速度の変更,1,AUTOと戦闘速度を使おう,"AUTOを有効にすると、仲間が設定された作戦に従って自動で行動します。

戦闘速度も変更できるので、周回や連戦では好みの速さに調整しよう。",戦闘画面のAUTOと速度変更ボタン,assets/tutorial/0016.png
T17,t17-battle-strategy,仲間の作戦を決めよう,仲間ごとのAUTO行動方針,1,仲間の作戦を決めよう,"作戦では、仲間ごとにAUTO中の行動方針を設定できます。

攻撃重視、回復重視、MP節約など、役割に合った方針を選ぼう。",仲間ごとの作戦設定画面,assets/tutorial/0017.png
T18,t18-auto-skill-settings,AUTOで使うスキルを選ぼう,自動使用スキルの詳細設定,1,AUTOで使うスキルを選ぼう,"AUTO中に使わせたくないスキルは、キャラクター設定から除外できます。

大切なスキルやMP消費の大きいスキルを調整して、戦い方を細かく整えよう。",AUTOで使用しないスキルの設定画面,assets/tutorial/0018.png
T19,t19-dungeon-exploration,ダンジョンを探索しよう,階段、宝箱、敵との遭遇,1,ダンジョンを探索しよう,"ダンジョンでは階段を探して次の階層へ進みます。

宝箱や調べられる場所の前では「OK」を押そう。移動中に魔物と遭遇することもあります。",階段と宝箱があるダンジョン画面,assets/tutorial/0019.png
T20,t20-dungeon-escape,危険な時は脱出しよう,ダンジョンからの途中脱出と制限,1,危険な時は脱出しよう,"探索を続けるのが危険な時は、ダンジョンメニューから脱出できます。

ボス戦や特定の場面では脱出できないことがあるため、先へ進む前に準備しよう。",ダンジョンメニューの脱出操作,assets/tutorial/0020.png
T21,t21-colored-keys,色の鍵を使おう,赤・青・金の鍵と対応する扉,1,色の鍵を使おう,"鍵は同じ色の扉や宝箱を開ける時に使い、使用すると消費されます。

物語のダンジョンとアビスなどでは鍵の所持数が分かれているので、画面の鍵表示を確認しよう。",色付きの鍵と対応する扉・宝箱,assets/tutorial/0021.png
T22,t22-trap-chests,宝箱の罠に注意しよう,罠や特殊な結果がある宝箱,1,宝箱の罠に注意しよう,"宝箱にはアイテムだけでなく、罠や特別な出来事が仕掛けられていることがあります。

残りHPや周囲の状況を確認してから開けよう。",罠や特殊効果が発生する宝箱,assets/tutorial/0022.png
T23,t23-boss-preparation,ボス戦に備えよう,強敵戦の前に行う準備,1,ボス戦に備えよう,"この先では強敵との戦いが始まります。戦闘開始後は、通常の方法で脱出できない場合があります。

HP・MPの回復、装備、パーティ編成、作戦を確認してから進もう。",ボス戦前の確認画面,assets/tutorial/0023.png
T24,t24-story-viewer,物語の見方,紙芝居の自動送りとスキップ,1,物語の見方,"物語の場面は自動で進みます。

もう一度見る必要がない時や先へ進みたい時は、スキップ操作を利用できます。",紙芝居形式の物語画面とスキップ操作,assets/tutorial/0024.png
T25,t25-inn,宿屋で休もう,ゴールドを使ったパーティの全回復,1,宿屋で休もう,"宿屋ではゴールドを支払い、パーティ全員のHPやMPを回復できます。

長い探索や強敵との戦いへ向かう前に、十分に休んでおこう。",宿屋の休息・回復画面,assets/tutorial/0025.png
T26,t26-shop,ショップを利用しよう,アイテムの購入、売却、数量指定,1,ショップを利用しよう,"ショップでは、所持金、商品の価格、現在の所持数を確認して購入できます。

不要になったアイテムは売却できます。数量と売却品を確認してから決定しよう。",ショップの購入・売却画面,assets/tutorial/0026.png
T27,t27-blacksmith,鍛冶を使い分けよう,合成、強化、精錬の違い,1,鍛冶を使い分けよう,"合成は装備を掛け合わせ、強化は素材を使ってオプション値を伸ばします。精錬ではGEMを使い、オプションの段階を引き上げます。

実行前に成功率、必要素材、消費する装備やGEMを確認しよう。",鍛冶の合成・強化・精錬選択画面,assets/tutorial/0027.png
T28,t28-alchemy,錬金で道具を作ろう,レシピ、必要素材、作成数の選択,1,錬金で道具を作ろう,"カテゴリとレシピを選び、必要素材と所持数を確認して錬成しよう。作成数を指定すれば、複数個をまとめて作れます。

素材を自由に選ぶ錬成は、通常のレシピ錬成とは異なる方法で行います。",錬金のレシピ・素材・作成数選択画面,assets/tutorial/0028.png
T29,t29-adventurer-guild,ギルドの依頼を受けよう,依頼の受注、進捗、報告、ランク,1,ギルドの依頼を受けよう,"依頼板から仕事を選んで受注し、条件を達成したら受付へ報告しよう。

報酬としてギルドEXP、GP、アイテムなどを獲得でき、ランクが上がると新しい依頼や交換先が広がります。",冒険者ギルドの依頼板と報告画面,assets/tutorial/0029.png
T30,t30-monster-bestiary,モンスター図鑑を見よう,倒した魔物の情報を確認,1,モンスター図鑑を見よう,"倒した魔物の情報は、モンスター図鑑へ記録されます。

遭遇した魔物や討伐状況を振り返り、冒険の記録を集めよう。",モンスター図鑑の一覧・詳細画面,assets/tutorial/0030.png
T31,t31-achievements,実績を確認しよう,実績の達成状況とプレイ記録,1,実績を確認しよう,"冒険や戦闘などのプレイ記録に応じて、さまざまな実績を達成できます。

実績画面で達成済みの項目と、次に狙える条件を確認しよう。",実績の達成一覧と進行状況画面,assets/tutorial/0031.png
T32,t32-magic-boat,魔法の舟で海を渡ろう,乗船、水上移動、上陸,1,魔法の舟で海を渡ろう,"魔法の舟を使うと水上を移動でき、これまで行けなかった地域へ進めるようになります。

舟に乗り降りできる場所を探して、新しい土地を探索しよう。",魔法の舟で水上を移動するフィールド画面,assets/tutorial/0032.png
T33,t33-magic-communication,魔法通信を使おう,離れた場所から施設を利用,1,魔法通信を使おう,"魔法通信を使うと、現在地から鍛冶、錬金、ギルドなどの施設へアクセスできます。

新しい製作機能が増えるのではなく、すでに解放した施設を離れた場所から利用できる便利な機能です。",魔法通信から各施設を選ぶ画面,assets/tutorial/0033.png
T34,t34-story-abyss,深淵を探索しよう,ストーリーアビスの階層進行と到達記録,1,深淵を探索しよう,"深淵は、階層を進んで到達記録を伸ばしていく長期探索です。

通常のダンジョンとは進み方、鍵の扱い、帰還条件などが異なるため、開始前の案内を確認しよう。",ストーリーアビスの階層選択・探索画面,assets/tutorial/0034.png
T35,t35-abyss-modes,2つのアビスを使い分けよう,物語側とランダム探索側の進行・再開,1,2つのアビスを使い分けよう,"物語で進む深淵と、周回向けのランダムアビスでは、到達記録や進行状況が別に管理されます。

到達済みの階層やチェックポイントを利用して、目的に合うモードから探索を再開しよう。",2種類のアビスを選択するダンジョンメニュー,assets/tutorial/0035.png
T36,t36-inn-teleport,宿屋から深層へ移動しよう,到達済みアビス階層への転送,1,宿屋から深層へ移動しよう,"宿屋のテレポートを使うと、到達済みのランダムアビス階層へ移動できます。

転送費用は行き先によって変わります。所持金と選択階層を確認して利用しよう。",宿屋のアビス階層テレポート画面,assets/tutorial/0036.png
T37,t37-reincarnation,転生でさらに強くなろう,転生で失うものと引き継ぐ成長,1,転生でさらに強くなろう,"転生すると一部の成長がリセットされる代わりに、次の育成へ引き継げる恒久的な力を得られます。

実行前に、リセットされる項目、残る項目、得られる効果を必ず確認しよう。",転生前後のリセット・引き継ぎ比較画面,assets/tutorial/0037.png
T38,t38-save-data,セーブデータを守ろう,バックアップ、復元、更新、削除,1,セーブデータを守ろう,"端末変更やブラウザデータの消去に備えて、セーブデータを書き出して保管しよう。

復元、アプリ更新、セーブ削除はそれぞれ役割が異なります。削除などの取り消せない操作は、内容を確認してから実行してください。",セーブ書き出し・復元・更新・削除の設定画面,assets/tutorial/0038.png
T39,t39-tutorial-archive,チュートリアルを見返そう,一度見た遊び方の再確認,1,チュートリアルを見返そう,"一度表示された説明は、「メニュー ＞ お知らせ ＞ チュートリアル」から見返せます。

操作や施設の使い方を忘れた時は、見出しを選んでもう一度確認しよう。",お知らせメニューのチュートリアル一覧画面,assets/tutorial/0039.png
