旧ID,新ID,名前,旧ランク,新ランク,旧通常ドロップ,新通常ドロップ,旧レアドロップ,新レアドロップ,変更有無
000355,000357,ウィスプナイト,36,40,13:超やくそう（13%）,1041:賢者の香（13%）,101:ふしぎのきのみ（3%）,101:ふしぎのきのみ（3%）,あり
000455,000358,ダークナイト,46,40,1041:賢者の香（13%）,1041:賢者の香（13%）,104:すばやさのたね（3%）,103:まりょくのたね（3%）,あり
000402,000401,アーマーラビット,41,41,2034:魔獣の爪（13%）,2034:魔獣の爪（13%）,1045:生命の大霊薬（3%）,1045:生命の大霊薬（3%）,なし
000404,000402,アイアンウルフ,41,41,2026:ふわふわの羽毛（13%）,2026:ふわふわの羽毛（13%）,1070:脱力の呪瓶（3%）,1070:脱力の呪瓶（3%）,なし
001056,000403,ブリーズモス,106,41,2013:天樹の幹（14%）,2010:霊木の欠片（13%）,6:世界樹の雫（4%）,1041:賢者の香（3%）,あり
000303,000404,ブリーズリザード,31,41,1056:魔障の霊薬（13%）,1056:魔障の霊薬（13%）,2003:ミスリルの鉱石（3%）,2003:ミスリルの鉱石（3%）,なし
001156,000405,ボルトビートル,116,41,2006:神鉄インゴット（15%）,2002:黒鉄の鉱石（13%）,6:世界樹の雫（5%）,1045:生命の大霊薬（3%）,あり
000403,000406,メイジゴースト,41,41,1041:賢者の香（13%）,1041:賢者の香（13%）,2019:魔晶石（3%）,2019:魔晶石（3%）,なし
000651,000451,アルリザード,66,46,1073:軟化の呪香（14%）,1052:堅守の霊薬（13%）,2005:星銀鋼（4%）,2004:オリハルコンの欠片（3%）,あり
000454,000452,グレイブゴースト,46,46,2059:呪いのお札（13%）,2059:呪いのお札（13%）,1045:生命の大霊薬（3%）,1045:生命の大霊薬（3%）,なし
000956,000453,シェルバッククラブ,96,46,2005:星銀鋼（14%）,2003:ミスリルの鉱石（13%）,1008:大津波の器（4%）,1055:叡智の戦香（3%）,あり
000905,000454,潮騒ジェリー,91,46,6:世界樹の雫（14%）,1041:賢者の香（13%）,2054:御神水（4%）,2052:水竜の血（3%）,あり
000504,000501,ストーンジェリー,51,51,2051:精霊の涙（13%）,2051:精霊の涙（13%）,1042:星海の聖水（3%）,1042:星海の聖水（3%）,なし
000502,000502,ブラッドウルフ,51,51,2043:霊獣の毛皮（13%）,2043:霊獣の毛皮（13%）,1045:生命の大霊薬（3%）,1045:生命の大霊薬（3%）,なし
000503,000503,リトルメイジ,51,51,1045:生命の大霊薬（13%）,1045:生命の大霊薬（13%）,2036:地獄の爪（3%）,2036:地獄の爪（3%）,なし
000551,000504,キラーナイト,56,52,1045:生命の大霊薬（13%）,1045:生命の大霊薬（13%）,2004:オリハルコンの欠片（3%）,2004:オリハルコンの欠片（3%）,なし
000603,000505,サンダーバット,61,52,1006:激流の壺（13%）,1006:激流の壺（13%）,2036:地獄の爪（3%）,2036:地獄の爪（3%）,なし
000501,000506,機械兵士,51,52,1072:軟化の呪瓶（13%）,1072:軟化の呪瓶（13%）,2004:オリハルコンの欠片（3%）,2004:オリハルコンの欠片（3%）,なし
000701,000507,アクアリリィ,71,54,1042:星海の聖水（14%）,1045:生命の大霊薬（13%）,2037:古竜の爪（4%）,2036:地獄の爪（3%）,あり
000401,000508,バンパイア,41,54,1041:賢者の香（13%）,1045:生命の大霊薬（13%）,2019:魔晶石（3%）,2020:魔結晶（3%）,あり
000452,000509,リペアジェリー,46,54,2051:精霊の涙（13%）,2051:精霊の涙（13%）,1057:魔障の戦香（3%）,1057:魔障の戦香（3%）,なし
001556,000510,シャードヘア,156,54,2031:始祖鳥の羽（15%）,2027:幻鳥の羽（13%）,1055:叡智の戦香（5%）,1031:崩界の壺（3%）,あり
001505,000511,フロストジェリー,151,54,6:世界樹の雫（15%）,1045:生命の大霊薬（13%）,2055:深淵原液（5%）,2052:水竜の血（3%）,あり
000553,000551,かえんりゅう,56,56,1045:生命の大霊薬（13%）,1045:生命の大霊薬（13%）,2004:オリハルコンの欠片（3%）,2004:オリハルコンの欠片（3%）,なし
000552,000552,キラーラビット,56,56,2035:飛竜の爪（13%）,2035:飛竜の爪（13%）,7:エルフの飲み薬（3%）,7:エルフの飲み薬（3%）,なし
000554,000553,ポイズンミスト,56,56,2059:呪いのお札（13%）,2059:呪いのお札（13%）,1071:脱力の呪香（3%）,1071:脱力の呪香（3%）,なし
000555,000554,かえんまりゅう,56,58,1070:脱力の呪瓶（13%）,1070:脱力の呪瓶（13%）,100:いのちのきのみ（3%）,100:いのちのきのみ（3%）,なし
001305,000555,グルームバット,131,58,1018:天嵐の器（15%）,1016:暴風の壺（13%）,2023:混沌の核（5%）,2020:魔結晶（3%）,あり
001005,000556,レイザーウイング,101,58,1051:剛力の戦香（14%）,1070:脱力の呪瓶（13%）,2038:神獣の爪（4%）,2036:地獄の爪（3%）,あり
000602,000601,アーマーリザード,61,61,2035:飛竜の爪（13%）,2035:飛竜の爪（13%）,1023:神光の器（3%）,1023:神光の器（3%）,なし
000604,000602,ルーンアーマー,61,61,2003:ミスリルの鉱石（13%）,2003:ミスリルの鉱石（13%）,1042:星海の聖水（3%）,1042:星海の聖水（3%）,なし
001205,000603,プリズムウィスプ,121,65,6:世界樹の雫（15%）,1042:星海の聖水（13%）,2055:深淵原液（5%）,2052:水竜の血（3%）,あり
000702,000604,ライトリリィ,71,65,2060:時空の砂（14%）,2059:呪いのお札（13%）,6:世界樹の雫（4%）,6:世界樹の雫（3%）,あり
001256,000605,聖域のセンチネル,126,65,2006:神鉄インゴット（15%）,2003:ミスリルの鉱石（13%）,1075:忘却の呪香（5%）,1075:忘却の呪香（3%）,あり
000652,000651,ダークバトラー,66,66,2020:魔結晶（14%）,2020:魔結晶（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000751,000652,魔人兵士,76,66,6:世界樹の雫（14%）,7:エルフの飲み薬（14%）,2021:虹の結晶（4%）,2021:虹の結晶（4%）,あり
000653,000653,シルフウルフ,66,68,1042:星海の聖水（14%）,1042:星海の聖水（14%）,2029:天馬の羽（4%）,2029:天馬の羽（4%）,なし
000654,000654,ヒールフェアリー,66,68,2020:魔結晶（14%）,2020:魔結晶（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000804,000655,キラーマシン試作,81,70,2004:オリハルコンの欠片（14%）,2004:オリハルコンの欠片（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
001105,000656,スパークハウンド,111,70,6:世界樹の雫（15%）,7:エルフの飲み薬（14%）,2047:混沌獣の黒皮（5%）,2045:幻獣の毛皮（4%）,あり
000754,000701,アビススポア,76,71,2012:世界樹の枝（14%）,2012:世界樹の枝（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000703,000702,ジェリーキング,71,71,7:エルフの飲み薬（14%）,7:エルフの飲み薬（14%）,2053:星の涙（4%）,2053:星の涙（4%）,なし
000704,000703,バトルリザード,71,71,2036:地獄の爪（14%）,2036:地獄の爪（14%）,1071:脱力の呪香（4%）,1071:脱力の呪香（4%）,なし
000856,000704,マグマサラマンダー,86,71,2037:古竜の爪（14%）,2036:地獄の爪（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,あり
000752,000751,アークバット,76,76,2060:時空の砂（14%）,2060:時空の砂（14%）,1003:煉獄爆弾（4%）,1003:煉獄爆弾（4%）,なし
000601,000752,スカウトデビル,61,76,1042:星海の聖水（13%）,6:世界樹の雫（14%）,2020:魔結晶（3%）,2021:虹の結晶（4%）,あり
000655,000753,ダークバトラー強,66,76,7:エルフの飲み薬（14%）,6:世界樹の雫（14%）,103:まりょくのたね（4%）,104:すばやさのたね（4%）,あり
000753,000754,ブレイズナイト,76,76,1023:神光の器（14%）,1023:神光の器（14%）,2005:星銀鋼（4%）,2005:星銀鋼（4%）,なし
000755,000755,魔人兵長,76,76,6:世界樹の雫（14%）,6:世界樹の雫（14%）,106:スキルのたね（4%）,106:スキルのたね（4%）,なし
000801,000801,アークバトラー,81,81,1053:堅守の戦香（14%）,1053:堅守の戦香（14%）,2061:世界の断片（4%）,2061:世界の断片（4%）,なし
000803,000802,ソウルゴースト,81,81,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2021:虹の結晶（4%）,2021:虹の結晶（4%）,なし
000802,000803,メタルリザード,81,81,2036:地獄の爪（14%）,2036:地獄の爪（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000852,000851,アビスウルフ,86,86,2037:古竜の爪（14%）,2037:古竜の爪（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000855,000852,キラーマシン試作二号,86,86,1071:脱力の呪香（14%）,1071:脱力の呪香（14%）,102:ちからのたね（4%）,102:ちからのたね（4%）,なし
000853,000853,サンダーアーマー,86,86,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2006:神鉄インゴット（4%）,2006:神鉄インゴット（4%）,なし
000851,000854,デビルロード,86,86,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2038:神獣の爪（4%）,2038:神獣の爪（4%）,なし
000854,000855,ホーリージェリー,86,86,2053:星の涙（14%）,2053:星の涙（14%）,1071:脱力の呪香（4%）,1071:脱力の呪香（4%）,なし
000903,000901,イグナイトウルフ,91,91,1003:煉獄爆弾（14%）,1003:煉獄爆弾（14%）,2038:神獣の爪（4%）,2038:神獣の爪（4%）,なし
000901,000902,カースメイジ,91,91,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2022:賢者の石片（4%）,2022:賢者の石片（4%）,なし
000904,000903,グレータージェリー,91,91,2053:星の涙（14%）,2053:星の涙（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000902,000904,ブラッドナイト,91,91,2061:世界の断片（14%）,2061:世界の断片（14%）,1018:天嵐の器（4%）,1018:天嵐の器（4%）,なし
000951,000951,アークデビル,96,96,1053:堅守の戦香（14%）,1053:堅守の戦香（14%）,2062:神代遺物（4%）,2062:神代遺物（4%）,なし
000954,000952,ダークプリースト,96,96,2061:世界の断片（14%）,2061:世界の断片（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000952,000953,バトルマシーン,96,96,2005:星銀鋼（14%）,2005:星銀鋼（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
000955,000954,古竜の若君,96,96,6:世界樹の雫（14%）,6:世界樹の雫（14%）,105:まもりのたね（4%）,105:まもりのたね（4%）,なし
000953,000955,古竜の幼体,96,96,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2006:神鉄インゴット（4%）,2006:神鉄インゴット（4%）,なし
001002,001001,カースバット,101,101,2061:世界の断片（14%）,2061:世界の断片（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
001004,001002,カオスリザード,101,101,2037:古竜の爪（14%）,2037:古竜の爪（14%）,1051:剛力の戦香（4%）,1051:剛力の戦香（4%）,なし
001001,001003,ステラジェリー,101,101,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2054:御神水（4%）,2054:御神水（4%）,なし
001003,001004,デスマシーン,101,101,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2006:神鉄インゴット（4%）,2006:神鉄インゴット（4%）,なし
001051,001051,アークデビル,106,106,6:世界樹の雫（14%）,6:世界樹の雫（14%）,2022:賢者の石片（4%）,2022:賢者の石片（4%）,なし
001055,001052,アザゼルナイト,106,106,6:世界樹の雫（14%）,6:世界樹の雫（14%）,101:ふしぎのきのみ（4%）,101:ふしぎのきのみ（4%）,なし
001053,001053,アビスウィスプ,106,106,1077:破魔の呪香（14%）,1077:破魔の呪香（14%）,2022:賢者の石片（4%）,2022:賢者の石片（4%）,なし
001052,001054,エンゼルジェリー,106,106,2053:星の涙（14%）,2053:星の涙（14%）,1077:破魔の呪香（4%）,1077:破魔の呪香（4%）,なし
001054,001055,ダークウルフ,106,106,2045:幻獣の毛皮（14%）,2045:幻獣の毛皮（14%）,6:世界樹の雫（4%）,6:世界樹の雫（4%）,なし
001101,001101,アビスバトラー,111,111,1053:堅守の戦香（15%）,1053:堅守の戦香（15%）,2063:終焉の黒玉（5%）,2063:終焉の黒玉（5%）,なし
001103,001102,エビルゴースト,111,111,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001102,001103,カオスアーマー,111,111,2006:神鉄インゴット（15%）,2006:神鉄インゴット（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001104,001104,シャドウシーカー,111,111,2062:神代遺物（15%）,2062:神代遺物（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001154,001151,イエロードラゴン,116,116,2038:神獣の爪（15%）,2038:神獣の爪（15%）,1051:剛力の戦香（5%）,1051:剛力の戦香（5%）,なし
001155,001152,カオスドラゴン,116,116,1051:剛力の戦香（15%）,1051:剛力の戦香（15%）,104:すばやさのたね（5%）,104:すばやさのたね（5%）,なし
001153,001153,グリーンドラゴン,116,116,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001152,001154,ブルードラゴン,116,116,2038:神獣の爪（15%）,2038:神獣の爪（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001151,001155,レッドドラゴン,116,116,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001204,001201,エビルレオン,121,121,2022:賢者の石片（15%）,2022:賢者の石片（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001201,001202,オネイロス,121,121,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001202,001203,ニーズヘッグ,121,121,2038:神獣の爪（15%）,2038:神獣の爪（15%）,1077:破魔の呪香（5%）,1077:破魔の呪香（5%）,なし
001203,001204,レムレスキラー,121,121,1077:破魔の呪香（15%）,1077:破魔の呪香（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001251,001251,イビルスライム,126,126,1028:奈落の器（15%）,1028:奈落の器（15%）,2055:深淵原液（5%）,2055:深淵原液（5%）,なし
001255,001252,ウィスプロード,126,126,6:世界樹の雫（15%）,6:世界樹の雫（15%）,100:いのちのきのみ（5%）,100:いのちのきのみ（5%）,なし
001253,001253,キングスキラー,126,126,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001252,001254,ヘルシーカー,126,126,2030:天使の羽（15%）,2030:天使の羽（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001254,001255,リリスナイト,126,126,2006:神鉄インゴット（15%）,2006:神鉄インゴット（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001304,001301,アルカナソード,131,131,2006:神鉄インゴット（15%）,2006:神鉄インゴット（15%）,1033:終焉の器（5%）,1033:終焉の器（5%）,なし
001302,001302,ヴェルザーク,131,131,2062:神代遺物（15%）,2062:神代遺物（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001303,001303,ガルヴァロス,131,131,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2047:混沌獣の黒皮（5%）,2047:混沌獣の黒皮（5%）,なし
001301,001304,ノクティリア,131,131,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2039:深淵竜の剛爪（5%）,2039:深淵竜の剛爪（5%）,なし
001354,001351,エビルグレン,136,136,2022:賢者の石片（15%）,2022:賢者の石片（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001352,001352,ダークドラゴン,136,136,2038:神獣の爪（15%）,2038:神獣の爪（15%）,1057:魔障の戦香（5%）,1057:魔障の戦香（5%）,なし
001351,001353,ブライトドラゴン,136,136,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001353,001354,ボルトアクス,136,136,1057:魔障の戦香（15%）,1057:魔障の戦香（15%）,2063:終焉の黒玉（5%）,2063:終焉の黒玉（5%）,なし
001355,001355,ラグナドラグーン,136,136,6:世界樹の雫（15%）,6:世界樹の雫（15%）,103:まりょくのたね（5%）,103:まりょくのたね（5%）,なし
001404,001401,グリムレイス,141,141,2062:神代遺物（15%）,2062:神代遺物（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001403,001402,ネクロヴェイル,141,141,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2039:深淵竜の剛爪（5%）,2039:深淵竜の剛爪（5%）,なし
001401,001403,ネメシスユニット,141,141,1073:軟化の呪香（15%）,1073:軟化の呪香（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001402,001404,ヘルエンゼル,141,141,2030:天使の羽（15%）,2030:天使の羽（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001452,001451,アークベリアル,146,146,2062:神代遺物（15%）,2062:神代遺物（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001453,001452,ウロボロス,146,146,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2055:深淵原液（5%）,2055:深淵原液（5%）,なし
001454,001453,エルダーリッチ,146,146,2038:神獣の爪（15%）,2038:神獣の爪（15%）,1071:脱力の呪香（5%）,1071:脱力の呪香（5%）,なし
001455,001454,デビルキング,146,146,1071:脱力の呪香（15%）,1071:脱力の呪香（15%）,106:スキルのたね（5%）,106:スキルのたね（5%）,なし
001451,001455,ドレッドノート,146,146,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001501,001501,アビスロード,151,151,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001504,001502,エレシュキガル,151,151,2063:終焉の黒玉（15%）,2063:終焉の黒玉（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001503,001503,バルムガルド,151,151,1057:魔障の戦香（15%）,1057:魔障の戦香（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001502,001504,ルインシェイド,151,151,2007:アビスメタル（15%）,2007:アビスメタル（15%）,1057:魔障の戦香（5%）,1057:魔障の戦香（5%）,なし
001554,001551,イビルフレイム,156,156,2023:混沌の核（15%）,2023:混沌の核（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001552,001552,ヴァルファング,156,156,2047:混沌獣の黒皮（15%）,2047:混沌獣の黒皮（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001553,001553,ヴェルドクローン,156,156,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2039:深淵竜の剛爪（5%）,2039:深淵竜の剛爪（5%）,なし
001555,001554,ラグナビースト,156,156,6:世界樹の雫（15%）,6:世界樹の雫（15%）,102:ちからのたね（5%）,102:ちからのたね（5%）,なし
001551,001555,竜将ダハーカ,156,156,1073:軟化の呪香（15%）,1073:軟化の呪香（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001601,001601,牙王マルバス,161,161,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2031:始祖鳥の羽（5%）,2031:始祖鳥の羽（5%）,なし
001604,001602,黒翼司祭アスタロト,161,161,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,1071:脱力の呪香（5%）,1071:脱力の呪香（5%）,なし
001602,001603,災厄機兵ヴリトラ,161,161,2007:アビスメタル（15%）,2007:アビスメタル（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001603,001604,魔導装甲ジャッジ,161,161,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001652,001651,アビスデーモン,166,166,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,1023:神光の器（5%）,1023:神光の器（5%）,なし
001654,001652,シャドウマシーン,166,166,2007:アビスメタル（15%）,2007:アビスメタル（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001653,001653,ダークワイバーン,166,166,1008:大津波の器（15%）,1008:大津波の器（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001651,001654,ネクロマンサー,166,166,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001655,001655,翼竜王ヴリトラ,166,166,6:世界樹の雫（15%）,6:世界樹の雫（15%）,105:まもりのたね（5%）,105:まもりのたね（5%）,なし
001703,001701,轟雷執事バアル,171,171,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2039:深淵竜の剛爪（5%）,2039:深淵竜の剛爪（5%）,なし
001701,001702,終焔執事スルト,171,171,1053:堅守の戦香（15%）,1053:堅守の戦香（15%）,2063:終焉の黒玉（5%）,2063:終焉の黒玉（5%）,なし
001702,001703,凍獄執事コキュートス,171,171,2023:混沌の核（15%）,2023:混沌の核（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001704,001704,冥王タナトス,171,171,2063:終焉の黒玉（15%）,2063:終焉の黒玉（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001751,001751,アビスドラゴン,176,176,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001754,001752,イービルレイス,176,176,2055:深淵原液（15%）,2055:深淵原液（15%）,1051:剛力の戦香（5%）,1051:剛力の戦香（5%）,なし
