ID,ランク変更後,名前,登場エリア（修正後）
000451,37,ダークソルジャー,海底神殿（1～3階）
000355,40,ウィスプナイト,海底神殿（1～3階）
000455,40,ダークナイト,海底神殿（1～3階）
000402,41,アーマーラビット,禁忌の森（3～4階）
000404,41,アイアンウルフ,禁忌の森（3～4階）
001056,41,ブリーズモス,禁忌の森（3～4階）
000303,41,ブリーズリザード,禁忌の森（3～4階）
001156,41,ボルトビートル,禁忌の森（3～4階）
000403,41,メイジゴースト,禁忌の森（3～4階）
000651,46,アルリザード,海上
000454,46,グレイブゴースト,海上
000956,46,シェルバッククラブ,海上
000905,46,潮騒ジェリー,海上
000504,51,ストーンジェリー,ライザーク要塞周辺／ライザーク要塞（1～4階）
000502,51,ブラッドウルフ,ライザーク要塞周辺／ライザーク要塞（1～4階）
000503,51,リトルメイジ,ライザーク要塞周辺／ライザーク要塞（1～4階）
000551,52,キラーナイト,ライザーク要塞（1～4階）
000603,52,サンダーバット,ライザーク要塞（1～4階）
000501,52,機械兵士,ライザーク要塞（1～4階）
000701,54,アクアリリィ,海上／海底神殿（4～5階）
000401,54,バンパイア,海上／海底神殿（4～5階）
000452,54,リペアジェリー,海上／海底神殿（4～5階）
001556,54,シャードヘア,大灯台周辺／海底神殿（4～5階）
001505,54,フロストジェリー,大灯台周辺／海底神殿（4～5階）
000553,56,かえんりゅう,大灯台（1～4階）／イグナ火山（4～5階）
000552,56,キラーラビット,大灯台周辺／大灯台（1～4階）
000554,56,ポイズンミスト,大灯台周辺／大灯台（1～4階）
000555,58,かえんまりゅう,大灯台（5～7階）
001305,58,グルームバット,大灯台（5～7階）
001005,58,レイザーウイング,光の宮殿グランプリズマ周辺／大灯台（5～7階）
000602,61,アーマーリザード,光の宮殿グランプリズマ周辺／光の宮殿グランプリズマ（1～5階）
000604,61,ルーンアーマー,光の宮殿グランプリズマ周辺／光の宮殿グランプリズマ（1～5階）
001205,65,プリズムウィスプ,光の宮殿グランプリズマ（1～5階）
000702,65,ライトリリィ,光の宮殿グランプリズマ（1～5階）
001256,65,聖域のセンチネル,光の宮殿グランプリズマ（1～5階）
000652,66,ダークバトラー,闇の神殿エクリプス跡（1～2階）
000751,66,魔人兵士,闇の神殿エクリプス跡（1～2階）
000653,68,シルフウルフ,ライザーク要塞（5～6階）／闇の神殿エクリプス跡（1～2階）
000654,68,ヒールフェアリー,ライザーク要塞（5～6階）／闇の神殿エクリプス跡（1～2階）
000804,70,キラーマシン試作,ライザーク要塞（5～6階）
001105,70,スパークハウンド,ライザーク要塞（5～6階）
000754,71,アビススポア,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺
000703,71,ジェリーキング,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺
000704,71,バトルリザード,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺
000856,71,マグマサラマンダー,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺
000752,76,アークバット,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）
000601,76,スカウトデビル,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）
000655,76,ダークバトラー強,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）
000753,76,ブレイズナイト,魔王城ガルヴァニア（1～7階）
000755,76,魔人兵長,魔王城ガルヴァニア（1～7階）
000801,81,アークバトラー,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺
000803,81,ソウルゴースト,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺
000802,81,メタルリザード,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺
000852,86,アビスウルフ,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地
000855,86,キラーマシン試作二号,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地
000853,86,サンダーアーマー,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地
000851,86,デビルロード,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地
000854,86,ホーリージェリー,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地
000903,91,イグナイトウルフ,黒縄のピラミッド／魔風の霊廟
000901,91,カースメイジ,黒縄のピラミッド／魔風の霊廟
000904,91,グレータージェリー,黒縄のピラミッド／魔風の霊廟
000902,91,ブラッドナイト,黒縄のピラミッド／魔風の霊廟
000951,96,アークデビル,深淵都市ビスタ周辺／極寒樹林／煉獄山脈
000954,96,ダークプリースト,深淵都市ビスタ周辺／極寒樹林／煉獄山脈
000952,96,バトルマシーン,深淵都市ビスタ周辺／極寒樹林／煉獄山脈
000955,96,古竜の若君,深淵都市ビスタ周辺／極寒樹林／煉獄山脈
000953,96,古竜の幼体,深淵都市ビスタ周辺／極寒樹林／煉獄山脈
001002,101,カースバット,氷刻の浄罪路／灼熱の古城／深淵（1～5階）
001004,101,カオスリザード,氷刻の浄罪路／灼熱の古城／深淵（1～5階）
001001,101,ステラジェリー,氷刻の浄罪路／灼熱の古城／深淵（1～5階）
001003,101,デスマシーン,氷刻の浄罪路／灼熱の古城／深淵（1～5階）
001051,106,アークデビル,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）
001055,106,アザゼルナイト,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）
001053,106,アビスウィスプ,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）
001052,106,エンゼルジェリー,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）
001054,106,ダークウルフ,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）
001101,111,アビスバトラー,災禍の根ジャゴレア／深淵（11～15階）
001103,111,エビルゴースト,災禍の根ジャゴレア／深淵（11～15階）
001102,111,カオスアーマー,災禍の根ジャゴレア／深淵（11～15階）
001104,111,シャドウシーカー,災禍の根ジャゴレア／深淵（11～15階）
001154,116,イエロードラゴン,次元牢獄クロノアビス／深淵（16～20階）
001155,116,カオスドラゴン,次元牢獄クロノアビス／深淵（16～20階）
001153,116,グリーンドラゴン,次元牢獄クロノアビス／深淵（16～20階）
001152,116,ブルードラゴン,次元牢獄クロノアビス／深淵（16～20階）
001151,116,レッドドラゴン,次元牢獄クロノアビス／深淵（16～20階）
001204,121,エビルレオン,深淵（21～25階）
001201,121,オネイロス,深淵（21～25階）
001202,121,ニーズヘッグ,深淵（21～25階）
001203,121,レムレスキラー,深淵（21～25階）
001251,126,イビルスライム,深淵（26～30階）
001255,126,ウィスプロード,深淵（26～30階）
001253,126,キングスキラー,深淵（26～30階）
001252,126,ヘルシーカー,深淵（26～30階）
001254,126,リリスナイト,深淵（26～30階）
001304,131,アルカナソード,深淵（31～35階）
001302,131,ヴェルザーク,深淵（31～35階）
001303,131,ガルヴァロス,深淵（31～35階）
001301,131,ノクティリア,深淵（31～35階）
001354,136,エビルグレン,深淵（36～40階）
001352,136,ダークドラゴン,深淵（36～40階）
001351,136,ブライトドラゴン,深淵（36～40階）
001353,136,ボルトアクス,深淵（36～40階）
001355,136,ラグナドラグーン,深淵（36～40階）
001404,141,グリムレイス,深淵（41～45階）
001403,141,ネクロヴェイル,深淵（41～45階）
001401,141,ネメシスユニット,深淵（41～45階）
001402,141,ヘルエンゼル,深淵（41～45階）
001452,146,アークベリアル,頂の神殿周辺／深淵（46～50階）
001453,146,ウロボロス,頂の神殿周辺／深淵（46～50階）
001454,146,エルダーリッチ,頂の神殿周辺／深淵（46～50階）
001455,146,デビルキング,頂の神殿周辺／深淵（46～50階）
001451,146,ドレッドノート,頂の神殿周辺／深淵（46～50階）
001501,151,アビスロード,深淵（51～55階）
001504,151,エレシュキガル,深淵（51～55階）
001503,151,バルムガルド,深淵（51～55階）
001502,151,ルインシェイド,深淵（51～55階）
001554,156,イビルフレイム,深淵（56～60階）
001552,156,ヴァルファング,深淵（56～60階）
001553,156,ヴェルドクローン,深淵（56～60階）
001555,156,ラグナビースト,深淵（56～60階）
001551,156,竜将ダハーカ,深淵（56～60階）
001601,161,牙王マルバス,深淵（61～65階）
001604,161,黒翼司祭アスタロト,深淵（61～65階）
001602,161,災厄機兵ヴリトラ,深淵（61～65階）
001603,161,魔導装甲ジャッジ,深淵（61～65階）
001652,166,アビスデーモン,深淵（66～70階）
001654,166,シャドウマシーン,深淵（66～70階）
001653,166,ダークワイバーン,深淵（66～70階）
001651,166,ネクロマンサー,深淵（66～70階）
001655,166,翼竜王ヴリトラ,深淵（66～70階）
001703,171,轟雷執事バアル,深淵（71～75階）
001701,171,終焔執事スルト,深淵（71～75階）
001702,171,凍獄執事コキュートス,深淵（71～75階）
001704,171,冥王タナトス,深淵（71～75階）
001751,176,アビスドラゴン,深淵（76～80階）
001754,176,イービルレイス,深淵（76～80階）
001755,176,屍竜ファフニール,深淵（76～80階）
001753,176,魔触アルラウネ,深淵（76～80階）
001752,176,冥騎士ベレト,深淵（76～80階）
001801,181,カラミティナイト,深淵（81～85階）
001803,181,デスアーマー,深淵（81～85階）
001804,181,黒炎竜アモン,深淵（81～85階）
001802,181,深淵のキルケー,深淵（81～85階）
001851,186,アスモデウス,深淵（86～90階）
001852,186,グレイブロード,深淵（86～90階）
001854,186,ヨルムンガンド,深淵（86～90階）
001853,186,機神アマデウス,深淵（86～90階）
001855,186,滅神アポカリプス,深淵（86～90階）
001903,191,ソウルイーター,深淵（91～95階）
001904,191,混沌装甲アケローン,深淵（91～95階）
001901,191,常闇のリリス,深淵（91～95階）
001902,191,魔竜騎兵カイン,深淵（91～95階）
001953,196,ウロボロスロード,深淵（96～100階）
001952,196,獄機ヘルマジンガ,深淵（96～100階）
001955,196,審判機神ジャジメント,深淵（96～100階）
001951,196,大魔導ジャミラ,深淵（96～100階）
001954,196,竜王ティアマト,深淵（96～100階）
