旧ID,新ID,名前,旧ランク,新ランク,登場エリア（新）,旧hp,旧mp,旧atk,旧def,旧spd,旧mag,旧mdef,旧gold,旧exp,新hp,新mp,新atk,新def,新spd,新mag,新mdef,新gold,新exp,スキル変更
000152,000252,ブロンズナイト,16,26,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）,142,55,40,18,6,4,13,148,68,220,83,47,32,21,5,17,250,110,あり
000302,000253,ルーンジェリー,31,26,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）,315,177,41,38,24,87,38,246,105,220,168,40,29,25,25,18,245,105,なし
000301,000254,キラーバット,31,30,クレナ鍾乳洞（1～2階）,268,128,73,18,50,39,9,246,105,252,125,67,18,48,33,9,245,105,なし
000155,000255,ブロンズリーダー,16,30,クレナ鍾乳洞（1～2階）,175,70,26,21,8,3,17,244,112,353,103,32,43,27,12,37,370,165,なし
000254,000301,ヒールスポア,26,31,イグナ火山（4～5階）,185,112,10,15,13,54,18,209,99,266,111,12,19,15,141,35,215,100,なし
000453,000302,フレイムヴァイン,46,31,イグナ火山（4～5階）,452,84,82,64,33,130,68,776,400,276,86,31,16,31,110,23,250,110,なし
000253,000303,フレイムスプライト,26,31,イグナ火山（4～5階）,198,107,10,10,39,60,15,209,99,283,107,12,13,39,141,30,215,100,あり
000805,000304,灰火のインプ,81,31,イグナ火山（4～5階）,760,188,158,88,176,224,142,2800,1525,255,115,24,11,42,77,26,250,110,あり
000304,000305,見習いメイジ,31,31,イグナ火山（4～5階）,248,192,11,18,24,119,38,246,105,248,192,11,18,24,119,38,246,105,なし
000352,000351,アクアウィスプ,36,36,海底神殿周辺／海底神殿（1～3階）／海上,325,211,14,18,39,120,43,327,173,325,211,14,18,39,120,43,327,173,なし
000103,000352,アクアスライム,11,36,海底神殿周辺／海底神殿（1～3階）／海上,88,66,27,10,11,28,10,117,51,314,109,33,23,36,124,56,325,175,あり
000354,000353,ダークウィスプ,36,36,海底神殿周辺／海底神殿（1～3階）,325,211,14,18,39,120,43,327,173,325,211,14,18,39,120,43,327,173,なし
000351,000354,ファイアウィスプ,36,36,海底神殿周辺／海底神殿（1～3階）／イグナ火山（4～5階）,325,211,14,18,39,120,43,327,173,325,211,14,18,39,120,43,327,173,なし
000353,000355,ライトウィスプ,36,36,海底神殿周辺／海底神殿（1～3階）,325,211,14,18,39,120,43,327,173,325,211,14,18,39,120,43,327,173,なし
000451,000356,ダークソルジャー,46,37,海底神殿（1～3階）,481,59,145,121,33,16,68,776,400,338,62,62,31,32,19,32,370,190,なし
000355,000357,ウィスプナイト,36,40,海底神殿（1～3階）,441,155,73,97,17,8,47,540,286,498,149,148,73,20,17,46,780,395,なし
000455,000358,ダークナイト,46,40,海底神殿（1～3階）,535,70,116,131,45,54,103,1280,660,417,73,93,49,44,56,46,780,395,あり
000402,000401,アーマーラビット,41,41,禁忌の森（3～4階）,430,53,124,103,45,11,31,587,294,430,53,124,103,45,11,31,587,294,なし
000404,000402,アイアンウルフ,41,41,禁忌の森（3～4階）,411,53,142,57,58,11,14,587,294,411,53,142,57,58,11,14,587,294,なし
001056,000403,ブリーズモス,106,41,禁忌の森（3～4階）,1210,286,152,168,302,378,276,7200,3800,371,118,55,32,50,83,43,585,295,あり
000303,000404,ブリーズリザード,31,41,禁忌の森（3～4階）,322,122,111,37,50,9,22,246,105,430,120,188,65,53,17,32,580,280,あり
001156,000405,ボルトビートル,116,41,禁忌の森（3～4階）,1980,214,438,426,172,286,314,10000,5250,479,91,110,66,29,58,47,585,295,あり
000403,000406,メイジゴースト,41,41,禁忌の森（3～4階）,346,75,13,26,45,132,64,587,294,346,75,13,26,45,132,64,587,294,なし
000651,000451,アルリザード,66,46,海上,672,84,223,161,126,99,126,1650,875,481,64,108,103,40,41,92,775,400,あり
000454,000452,グレイブゴースト,46,46,海上,376,101,18,31,72,142,99,776,400,376,101,18,31,72,142,99,776,400,なし
000956,000453,シェルバッククラブ,96,46,海上,1390,146,318,292,86,92,206,4800,2600,606,74,106,119,20,27,86,775,400,あり
000905,000454,潮騒ジェリー,91,46,海上,1010,238,166,214,104,292,224,4000,2175,479,129,61,95,27,81,106,775,400,あり
000504,000501,ストーンジェリー,51,51,ライザーク要塞周辺／ライザーク要塞（1～4階）,582,66,151,125,36,56,70,950,500,582,66,151,125,36,56,70,950,500,なし
000502,000502,ブラッドウルフ,51,51,ライザーク要塞周辺／ライザーク要塞（1～4階）,490,66,179,74,126,7,20,950,500,490,66,179,74,126,7,20,950,500,なし
000503,000503,リトルメイジ,51,51,ライザーク要塞周辺／ライザーク要塞（1～4階）,474,138,61,66,115,196,114,950,500,474,138,61,66,115,196,114,950,500,なし
000551,000504,キラーナイト,56,52,ライザーク要塞（1～4階）,582,72,189,150,75,10,107,1150,600,535,68,177,123,65,20,95,985,520,なし
000603,000505,サンダーバット,61,52,ライザーク要塞（1～4階）,553,131,149,57,157,204,129,1350,725,478,106,134,52,108,93,96,985,520,なし
000501,000506,機械兵士,51,52,ライザーク要塞（1～4階）,557,66,163,142,58,7,103,950,500,565,71,164,142,64,20,105,985,520,なし
000701,000507,アクアリリィ,71,54,海上／海底神殿（4～5階）,683,172,134,114,162,241,157,1950,1050,543,118,120,92,115,153,106,1050,560,あり
000401,000508,バンパイア,41,54,海上／海底神殿（4～5階）,376,75,91,26,58,82,49,587,294,535,84,158,75,134,136,117,1050,560,あり
000452,000509,リペアジェリー,46,54,海上／海底神殿（4～5階）,495,109,18,95,20,142,99,776,400,572,117,48,114,53,221,107,1050,560,あり
001556,000510,シャードヘア,156,54,大灯台周辺／海底神殿（4～5階）,2390,362,636,318,526,584,382,36000,19500,602,123,165,103,136,123,100,1100,580,あり
001505,000511,フロストジェリー,151,54,大灯台周辺／海底神殿（4～5階）,2620,418,286,462,218,676,508,32000,17000,679,141,91,143,73,139,134,1100,585,あり
000553,000551,かえんりゅう,56,56,大灯台（1～4階）／イグナ火山（4～5階）,582,118,167,125,75,189,107,1150,600,582,118,167,125,75,189,107,1150,600,なし
000552,000552,キラーラビット,56,56,大灯台周辺／大灯台（1～4階）,518,72,179,70,138,10,24,1150,600,518,72,179,70,138,10,24,1150,600,なし
000554,000553,ポイズンミスト,56,56,大灯台周辺／大灯台（1～4階）,490,129,17,46,138,189,122,1150,600,490,129,17,46,138,189,122,1150,600,なし
000555,000554,かえんまりゅう,56,58,大灯台（5～7階）,713,132,156,142,109,167,122,1898,990,720,136,163,140,117,172,129,1850,965,なし
001305,000555,グルームバット,131,58,大灯台（5～7階）,1810,352,242,176,404,518,338,17000,8750,602,166,100,92,174,243,123,1250,645,あり
001005,000556,レイザーウイング,101,58,光の宮殿グランプリズマ周辺／大灯台（5～7階）,1160,164,356,174,318,158,186,6000,3250,543,97,215,99,165,95,95,1250,645,なし
000602,000601,アーマーリザード,61,61,光の宮殿グランプリズマ周辺／光の宮殿グランプリズマ（1～5階）,661,78,196,167,109,12,117,1350,725,661,78,196,167,109,12,117,1350,725,なし
000604,000602,ルーンアーマー,61,61,光の宮殿グランプリズマ周辺／光の宮殿グランプリズマ（1～5階）,661,131,193,167,51,189,129,1350,725,661,131,193,167,51,189,129,1350,725,なし
001205,000603,プリズムウィスプ,121,65,光の宮殿グランプリズマ（1～5階）,1510,334,126,188,346,468,352,12000,6250,632,182,74,110,171,231,151,1600,845,あり
000702,000604,ライトリリィ,71,65,光の宮殿グランプリズマ（1～5階）,683,172,134,114,162,241,157,1950,1050,644,149,138,114,150,232,133,1600,845,あり
001256,000605,聖域のセンチネル,126,65,光の宮殿グランプリズマ（1～5階）,2280,248,476,438,194,318,374,14000,7250,819,139,237,232,103,165,153,1600,845,あり
000652,000651,ダークバトラー,66,66,闇の神殿エクリプス跡（1～2階）,672,144,223,161,118,204,126,1650,875,672,144,223,161,118,204,126,1650,875,なし
000751,000652,魔人兵士,76,66,闇の神殿エクリプス跡（1～2階）,737,149,259,172,117,180,147,2350,1275,672,130,212,146,113,180,118,1650,875,なし
000653,000653,シルフウルフ,66,68,ライザーク要塞（5～6階）／闇の神殿エクリプス跡（1～2階）,638,84,214,102,163,12,25,1650,875,654,93,211,106,162,43,40,1750,940,なし
000654,000654,ヒールフェアリー,66,68,ライザーク要塞（5～6階）／闇の神殿エクリプス跡（1～2階）,592,164,18,102,163,211,152,1650,875,611,170,56,106,162,207,158,1750,940,なし
000804,000655,キラーマシン試作,81,70,ライザーク要塞（5～6階）,900,104,269,213,156,13,165,2800,1525,710,103,209,161,136,43,144,1900,1000,なし
001105,000656,スパークハウンド,111,70,ライザーク要塞（5～6階）,1570,192,402,222,332,206,218,8500,4500,758,126,206,143,173,125,121,1900,1000,あり
000754,000701,アビススポア,76,71,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺,672,183,149,126,90,254,160,2350,1275,648,176,130,111,95,243,149,1950,1050,なし
000703,000702,ジェリーキング,71,71,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺,747,153,201,172,63,212,141,1950,1050,747,153,201,172,63,212,141,1950,1050,なし
000704,000703,バトルリザード,71,71,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺,726,92,250,151,162,13,141,1950,1050,726,92,250,151,162,13,141,1950,1050,なし
000856,000704,マグマサラマンダー,86,71,ガルヴァニアへの洞窟（1～6階）／魔王城ガルヴァニア周辺,1080,142,278,192,102,164,146,3350,1825,824,140,210,147,91,166,122,1950,1050,あり
000752,000751,アークバット,76,76,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）,661,167,204,75,185,247,172,2350,1275,661,167,204,75,185,247,172,2350,1275,なし
000601,000752,スカウトデビル,61,76,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）,592,144,170,81,149,204,129,1350,725,700,182,215,118,156,201,162,2350,1300,あり
000655,000753,ダークバトラー強,66,76,魔王城ガルヴァニア（1～7階）／クレナ鍾乳洞（3～4階）,810,173,186,167,130,186,142,2723,1444,872,197,224,194,138,185,176,3500,1900,なし
000753,000754,ブレイズナイト,76,76,魔王城ガルヴァニア（1～7階）,747,98,261,188,90,164,147,2350,1275,747,98,261,188,90,164,147,2350,1275,なし
000755,000755,魔人兵長,76,76,魔王城ガルヴァニア（1～7階）,919,167,228,193,135,197,166,3878,2104,919,167,228,193,135,197,166,3878,2104,なし
000801,000801,アークバトラー,81,81,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺,883,175,264,194,156,241,165,2800,1525,883,175,264,194,156,241,165,2800,1525,なし
000803,000802,ソウルゴースト,81,81,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺,749,196,15,77,198,260,191,2800,1525,749,196,15,77,198,260,191,2800,1525,なし
000802,000803,メタルリザード,81,81,最果ての祠周辺／禁則地グレゼリア（1～3階）／深淵の魔窟外縁周辺,900,104,241,213,139,13,165,2800,1525,900,104,241,213,139,13,165,2800,1525,なし
000852,000851,アビスウルフ,86,86,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地,864,110,271,171,198,13,39,3350,1825,864,110,271,171,198,13,39,3350,1825,なし
000855,000852,キラーマシン試作二号,86,86,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地,1087,179,223,228,178,13,194,5528,3012,1087,179,223,228,178,13,194,5528,3012,なし
000853,000853,サンダーアーマー,86,86,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地,900,110,275,219,148,13,177,3350,1825,900,110,275,219,148,13,177,3350,1825,なし
000851,000854,デビルロード,86,86,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地,864,201,220,171,178,269,188,3350,1825,864,201,220,171,178,269,188,3350,1825,なし
000854,000855,ホーリージェリー,86,86,最果ての地カルメナ周辺／雷霆砂丘／叫喚の墓地,916,201,155,183,83,260,188,3350,1825,916,201,155,183,83,260,188,3350,1825,なし
000903,000901,イグナイトウルフ,91,91,黒縄のピラミッド／魔風の霊廟,1014,118,299,176,216,14,44,4000,2175,1014,118,299,176,216,14,44,4000,2175,なし
000901,000902,カースメイジ,91,91,黒縄のピラミッド／魔風の霊廟,982,223,22,155,197,293,216,4000,2175,982,223,22,155,197,293,216,4000,2175,なし
000904,000903,グレータージェリー,91,91,黒縄のピラミッド／魔風の霊廟,1076,186,273,223,96,246,192,4000,2175,1076,186,273,223,96,246,192,4000,2175,なし
000902,000904,ブラッドナイト,91,91,黒縄のピラミッド／魔風の霊廟,1061,160,293,239,165,228,192,4000,2175,1061,160,293,239,165,228,192,4000,2175,なし
000951,000951,アークデビル,96,96,深淵都市ビスタ周辺／極寒樹林／煉獄山脈,1076,236,273,216,204,305,223,4800,2600,1076,236,273,216,204,305,223,4800,2600,なし
000954,000952,ダークプリースト,96,96,深淵都市ビスタ周辺／極寒樹林／煉獄山脈,1014,236,176,192,197,305,235,4800,2600,1014,236,176,192,197,305,235,4800,2600,なし
000952,000953,バトルマシーン,96,96,深淵都市ビスタ周辺／極寒樹林／煉獄山脈,1076,125,305,258,177,14,204,4800,2600,1076,125,305,258,177,14,204,4800,2600,なし
000955,000954,古竜の若君,96,96,深淵都市ビスタ周辺／極寒樹林／煉獄山脈,1293,236,246,262,213,246,239,7920,4290,1293,236,246,262,213,246,239,7920,4290,なし
000953,000955,古竜の幼体,96,96,深淵都市ビスタ周辺／極寒樹林／煉獄山脈,1076,204,299,235,197,293,223,4800,2600,1076,204,299,235,197,293,223,4800,2600,なし
001002,001001,カースバット,101,101,氷刻の浄罪路／灼熱の古城／深淵（1～5階）,1093,252,264,137,241,338,246,6000,3250,1093,252,264,137,241,338,246,6000,3250,なし
001004,001002,カオスリザード,101,101,氷刻の浄罪路／灼熱の古城／深淵（1～5階）,1339,207,338,246,214,310,231,6000,3250,1339,207,338,246,214,310,231,6000,3250,なし
001001,001003,ステラジェリー,101,101,氷刻の浄罪路／灼熱の古城／深淵（1～5階）,1313,230,310,246,129,310,231,6000,3250,1313,230,310,246,129,310,231,6000,3250,なし
001003,001004,デスマシーン,101,101,氷刻の浄罪路／灼熱の古城／深淵（1～5階）,1363,132,338,274,189,14,222,6000,3250,1363,132,338,274,189,14,222,6000,3250,なし
001051,001051,アークデビル,106,106,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）,1313,268,322,231,223,355,256,7200,3800,1313,268,322,231,223,355,256,7200,3800,なし
001055,001052,アザゼルナイト,106,106,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）,1679,279,289,246,241,297,275,11880,6270,1679,279,289,246,241,297,275,11880,6270,なし
001053,001053,アビスウィスプ,106,106,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）,1093,279,16,137,241,365,275,7200,3800,1093,279,16,137,241,365,275,7200,3800,なし
001052,001054,エンゼルジェリー,106,106,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）,1363,271,16,222,149,355,269,7200,3800,1363,271,16,222,149,355,269,7200,3800,なし
001054,001055,ダークウルフ,106,106,混沌魔城レガシオン周辺／夢幻回廊リドパルム／深淵（6～10階）,1235,138,346,171,257,14,46,7200,3800,1235,138,346,171,257,14,46,7200,3800,なし
001101,001101,アビスバトラー,111,111,災禍の根ジャゴレア／深淵（11～15階）,1433,234,388,268,230,267,253,8500,4500,1433,234,388,268,230,267,253,8500,4500,なし
001103,001102,エビルゴースト,111,111,災禍の根ジャゴレア／深淵（11～15階）,1227,283,17,141,276,411,295,8500,4500,1227,283,17,141,276,411,295,8500,4500,なし
001102,001103,カオスアーマー,111,111,災禍の根ジャゴレア／深淵（11～15階）,1613,147,377,307,184,189,263,8500,4500,1613,147,377,307,184,189,263,8500,4500,なし
001104,001104,シャドウシーカー,111,111,災禍の根ジャゴレア／深淵（11～15階）,1170,243,288,141,287,350,263,8500,4500,1170,243,288,141,287,350,263,8500,4500,なし
001154,001151,イエロードラゴン,116,116,次元牢獄クロノアビス／深淵（16～20階）,1613,234,388,273,243,377,273,10000,5250,1613,234,388,273,243,377,273,10000,5250,なし
001155,001152,カオスドラゴン,116,116,次元牢獄クロノアビス／深淵（16～20階）,2027,263,339,307,248,350,295,16500,8663,2027,263,339,307,248,350,295,16500,8663,なし
001153,001153,グリーンドラゴン,116,116,次元牢獄クロノアビス／深淵（16～20階）,1613,234,388,273,243,377,273,10000,5250,1613,234,388,273,243,377,273,10000,5250,なし
001152,001154,ブルードラゴン,116,116,次元牢獄クロノアビス／深淵（16～20階）,1613,234,388,273,221,377,273,10000,5250,1613,234,388,273,221,377,273,10000,5250,なし
001151,001155,レッドドラゴン,116,116,次元牢獄クロノアビス／深淵（16～20階）,1613,234,388,273,221,377,273,10000,5250,1613,234,388,273,221,377,273,10000,5250,なし
001204,001201,エビルレオン,121,121,深淵（21～25階）,1572,209,416,280,237,252,260,12000,6250,1572,209,416,280,237,252,260,12000,6250,なし
001201,001202,オネイロス,121,121,深淵（21～25階）,1638,288,370,270,259,401,291,12000,6250,1638,288,370,270,259,401,291,12000,6250,なし
001202,001203,ニーズヘッグ,121,121,深淵（21～25階）,1680,238,401,284,259,331,284,12000,6250,1680,238,401,284,259,331,284,12000,6250,なし
001203,001204,レムレスキラー,121,121,深淵（21～25階）,1328,298,18,153,284,425,303,12000,6250,1328,298,18,153,284,425,303,12000,6250,なし
001251,001251,イビルスライム,126,126,深淵（26～30階）,1782,247,344,284,149,344,270,14000,7250,1782,247,344,284,149,344,270,14000,7250,なし
001255,001252,ウィスプロード,126,126,深淵（26～30階）,2058,325,18,177,318,357,334,23100,11963,2058,325,18,177,318,357,334,23100,11963,なし
001253,001253,キングスキラー,126,126,深淵（26～30階）,1354,256,309,153,295,370,280,14000,7250,1354,256,309,153,295,370,280,14000,7250,なし
001252,001254,ヘルシーカー,126,126,深淵（26～30階）,1354,298,18,153,295,431,315,14000,7250,1354,298,18,153,295,431,315,14000,7250,なし
001254,001255,リリスナイト,126,126,深淵（26～30階）,1831,168,425,334,201,215,291,14000,7250,1831,168,425,334,201,215,291,14000,7250,なし
001304,001301,アルカナソード,131,131,深淵（31～35階）,1954,174,450,351,215,237,311,17000,8750,1954,174,450,351,215,237,311,17000,8750,なし
001302,001302,ヴェルザーク,131,131,深淵（31～35階）,1859,222,470,311,267,280,298,17000,8750,1859,222,470,311,267,280,298,17000,8750,なし
001303,001303,ガルヴァロス,131,131,深淵（31～35階）,1727,174,454,228,327,16,78,17000,8750,1727,174,454,228,327,16,78,17000,8750,なし
001301,001304,ノクティリア,131,131,深淵（31～35階）,1617,330,18,219,286,470,342,17000,8750,1617,330,18,219,286,470,342,17000,8750,なし
001354,001351,エビルグレン,136,136,深淵（36～40階）,1859,304,438,311,267,486,311,20000,10500,1859,304,438,311,267,486,311,20000,10500,なし
001352,001352,ダークドラゴン,136,136,深淵（36～40階）,1999,313,470,332,275,470,351,20000,10500,1999,313,470,332,275,470,351,20000,10500,なし
001351,001353,ブライトドラゴン,136,136,深淵（36～40階）,1999,313,470,332,275,470,351,20000,10500,1999,313,470,332,275,470,351,20000,10500,なし
001353,001354,ボルトアクス,136,136,深淵（36～40階）,1809,181,486,311,257,18,261,20000,10500,1809,181,486,311,257,18,261,20000,10500,なし
001355,001355,ラグナドラグーン,136,136,深淵（36～40階）,2412,330,398,362,286,398,371,33000,17325,2412,330,398,362,286,398,371,33000,17325,なし
001404,001401,グリムレイス,141,141,深淵（41～45階）,1523,264,380,161,312,536,306,23000,12000,1523,264,380,161,312,536,306,23000,12000,なし
001403,001402,ネクロヴェイル,141,141,深淵（41～45階）,1642,214,608,319,275,289,306,23000,12000,1642,214,608,319,275,289,306,23000,12000,なし
001401,001403,ネメシスユニット,141,141,深淵（41～45階）,1710,186,599,360,213,245,319,23000,12000,1710,186,599,360,213,245,319,23000,12000,なし
001402,001404,ヘルエンゼル,141,141,深淵（41～45階）,1620,296,19,228,213,608,351,23000,12000,1620,296,19,228,213,608,351,23000,12000,なし
001452,001451,アークベリアル,146,146,頂の神殿周辺／深淵（46～50階）,1688,304,438,299,275,608,329,26000,13500,1688,304,438,299,275,608,329,26000,13500,なし
001453,001452,ウロボロス,146,146,頂の神殿周辺／深淵（46～50階）,1784,273,464,306,157,548,306,26000,13500,1784,273,464,306,157,548,306,26000,13500,なし
001454,001453,エルダーリッチ,146,146,頂の神殿周辺／深淵（46～50階）,1642,313,189,246,257,608,351,26000,13500,1642,313,189,246,257,608,351,26000,13500,なし
001455,001454,デビルキング,146,146,頂の神殿周辺／深淵（46～50階）,2164,325,489,340,324,496,360,42900,22275,2164,325,489,340,324,496,360,42900,22275,なし
001451,001455,ドレッドノート,146,146,頂の神殿周辺／深淵（46～50階）,1753,193,608,360,257,19,319,26000,13500,1753,193,608,360,257,19,319,26000,13500,なし
001501,001501,アビスロード,151,151,深淵（51～55階）,2012,330,552,349,346,694,369,30000,16000,2012,330,552,349,346,694,369,30000,16000,なし
001504,001502,エレシュキガル,151,151,深淵（51～55階）,1757,354,437,182,384,694,380,30000,16000,1757,354,437,182,384,694,380,30000,16000,なし
001503,001503,バルムガルド,151,151,深淵（51～55階）,2151,296,677,369,309,677,360,30000,16000,2151,296,677,369,309,677,360,30000,16000,なし
001502,001504,ルインシェイド,151,151,深淵（51～55階）,2106,199,713,408,288,252,360,30000,16000,2106,199,713,408,288,252,360,30000,16000,なし
001554,001551,イビルフレイム,156,156,深淵（56～60階）,1811,362,19,182,384,746,390,35000,18500,1811,362,19,182,384,746,390,35000,18500,なし
001552,001552,ヴァルファング,156,156,深淵（56～60階）,2059,206,746,313,397,17,252,35000,18500,2059,206,746,313,397,17,252,35000,18500,なし
001553,001553,ヴェルドクローン,156,156,深淵（56～60階）,2196,362,694,390,360,746,390,35000,18500,2196,362,694,390,360,746,390,35000,18500,なし
001555,001554,ラグナビースト,156,156,深淵（56～60階）,2634,459,574,408,384,595,408,57750,30525,2634,459,574,408,384,595,408,57750,30525,なし
001551,001555,竜将ダハーカ,156,156,深淵（56～60階）,2196,290,730,369,346,478,360,35000,18500,2196,290,730,369,346,478,360,35000,18500,なし
001601,001601,牙王マルバス,161,161,深淵（61～65階）,2358,211,645,321,441,20,139,42000,22000,2358,211,645,321,441,20,139,42000,22000,なし
001604,001602,黒翼司祭アスタロト,161,161,深淵（61～65階）,2089,376,284,268,395,645,418,42000,22000,2089,376,284,268,395,645,418,42000,22000,なし
001602,001603,災厄機兵ヴリトラ,161,161,深淵（61～65階）,2597,211,657,471,311,232,378,42000,22000,2597,211,657,471,311,232,378,42000,22000,なし
001603,001604,魔導装甲ジャッジ,161,161,深淵（61～65階）,2520,362,568,488,296,635,399,42000,22000,2520,362,568,488,296,635,399,42000,22000,なし
001652,001651,アビスデーモン,166,166,深淵（66～70階）,2520,376,613,399,355,635,399,50000,26000,2520,376,613,399,355,635,399,50000,26000,なし
001654,001652,シャドウマシーン,166,166,深淵（66～70階）,2597,218,657,471,370,20,378,50000,26000,2597,218,657,471,370,20,378,50000,26000,なし
001653,001653,ダークワイバーン,166,166,深淵（66～70階）,2673,362,645,399,395,635,399,50000,26000,2673,362,645,399,395,635,399,50000,26000,なし
001651,001654,ネクロマンサー,166,166,深淵（66～70階）,2183,391,329,196,418,657,437,50000,26000,2183,391,329,196,418,657,437,50000,26000,なし
001655,001655,翼竜王ヴリトラ,166,166,深淵（66～70階）,3451,404,519,488,418,519,437,82500,42900,3451,404,519,488,418,519,437,82500,42900,なし
001703,001701,轟雷執事バアル,171,171,深淵（71～75階）,3064,362,696,447,379,696,408,60000,31000,3064,362,696,447,379,696,408,60000,31000,なし
001701,001702,終焔執事スルト,171,171,深淵（71～75階）,3064,362,696,447,379,696,408,60000,31000,3064,362,696,447,379,696,408,60000,31000,なし
